Encompass Health Price to Free Cash Flow Ratio Historical Data,Encompass Health Price to Free Cash Flow Ratio Historical Data,Encompass Health Price to Free Cash Flow Ratio Historical Data,Encompass Health Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,96.89,,46.04
2024-06-30,85.49,$2.10,40.62
2024-03-31,82.29,$2.35,35.08
2023-12-31,66.36,$2.64,25.11
2023-09-30,66.65,$2.49,26.81
2023-06-30,67.05,$0.95,70.87
2023-03-31,53.45,$1.42,37.54
2022-12-31,58.93,$1.21,48.62
2022-09-30,44.45,$0.63,70.79
2022-06-30,54.59,$2.16,25.32
2022-03-31,69.26,$-0.29,0.0
2021-12-31,63.31,$0.06,989.21
2021-09-30,72.49,$1.84,39.35
2021-06-30,75.09,$2.46,30.56
2020-12-31,79.02,$3.04,25.98
2020-09-30,61.89,$3.55,17.42
2020-06-30,58.73,$3.32,17.69
2020-03-31,60.45,$2.14,28.27
2019-12-31,65.11,$3.24,20.08
2021-03-31,78.54,$2.20,35.64
2019-09-30,59.24,$2.54,23.29
2019-06-30,59.06,$3.69,16.02
2019-03-31,54.2,$4.23,12.8
2018-12-31,57.0,$4.93,11.56
2018-09-30,72.01,$4.76,15.14
2018-06-30,62.35,$4.59,13.57
2018-03-31,52.44,$4.33,12.12
2017-12-31,45.13,$4.16,10.84
2017-09-30,42.12,$4.33,9.72
2017-06-30,43.74,$4.52,9.68
2017-03-31,38.5,$4.73,8.14
2016-12-31,36.88,$4.64,7.96
2016-09-30,36.07,$4.58,7.88
2016-06-30,34.31,$4.41,7.77
2016-03-31,33.07,$4.03,8.21
2015-12-31,30.4,$3.46,8.79
2015-09-30,33.29,$2.87,11.61
2015-06-30,39.72,$2.63,15.11
2015-03-31,38.08,$2.87,13.28
2014-12-31,32.86,$2.55,12.87
2014-09-30,31.36,$2.89,10.84
2014-06-30,30.31,$2.36,12.83
2014-03-31,30.21,$2.14,14.12
2013-12-31,27.88,$2.49,11.21
2013-09-30,28.69,$2.58,11.11
2013-06-30,23.84,$2.86,8.34
2013-03-31,21.83,$2.67,8.16
2012-12-31,17.47,$2.33,7.5
2012-09-30,19.92,$2.36,8.43
2012-06-30,19.25,$1.95,9.87
2012-03-31,16.95,$1.87,9.07
2011-12-31,14.63,$2.14,6.84
2011-09-30,12.36,$1.81,6.82
2011-06-30,21.73,$2.20,9.87
2011-03-31,20.68,$2.46,8.41
2010-12-31,17.14,$2.41,7.11
2010-09-30,15.89,$2.29,6.93
2010-06-30,15.49,$2.73,5.67
2010-03-31,15.48,$2.33,6.65
2009-12-31,15.54,$3.32,4.68
