Elastic Price to Free Cash Flow Ratio Historical Data,Elastic Price to Free Cash Flow Ratio Historical Data,Elastic Price to Free Cash Flow Ratio Historical Data,Elastic Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,82.31,,53.92
2024-07-31,109.67,$1.53,71.85
2024-04-30,102.22,$1.40,73.14
2024-01-31,117.06,$1.09,107.78
2023-10-31,75.04,$0.69,109.48
2023-07-31,66.45,$0.83,79.9
2023-04-30,57.25,$0.34,166.18
2023-01-31,58.84,$0.02,3420.93
2022-10-31,63.95,$-0.02,0.0
2022-07-31,79.89,$-0.26,0.0
2022-04-30,76.14,$-0.02,0.0
2022-01-31,93.25,$0.01,0.0
2021-10-31,173.51,$0.18,980.84
2021-07-31,148.06,$0.09,1658.01
2021-04-30,120.62,$0.21,574.38
2021-01-31,151.96,$0.15,1030.24
2020-10-31,101.41,$-0.36,0.0
2020-07-31,96.19,$-0.15,0.0
2020-04-30,64.14,$-0.45,0.0
2020-01-31,64.88,$-0.76,0.0
2019-10-31,72.01,$-0.56,0.0
