Reinsurance Group Of America Price to Free Cash Flow Ratio Historical Data,Reinsurance Group Of America Price to Free Cash Flow Ratio Historical Data,Reinsurance Group Of America Price to Free Cash Flow Ratio Historical Data,Reinsurance Group Of America Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,219.11,,1.64
2024-06-30,204.37,$133.58,1.53
2024-03-31,191.25,$122.73,1.56
2023-12-31,159.6,$60.27,2.65
2023-09-30,142.49,$46.04,3.1
2023-06-30,135.29,$43.19,3.13
2023-03-31,128.82,$40.68,3.17
2022-12-31,137.15,$19.84,6.91
2022-09-30,120.71,$20.82,5.8
2022-06-30,111.85,$30.99,3.61
2022-03-31,103.74,$28.80,3.6
2021-12-31,103.1,$61.23,1.68
2021-09-30,104.09,$65.41,1.59
2021-06-30,106.0,$48.11,2.2
2021-03-31,116.56,$57.61,2.02
2020-12-31,106.54,$35.19,3.03
2020-09-30,86.98,$35.48,2.45
2019-12-31,146.08,$35.57,4.11
2019-09-30,142.63,$16.09,8.86
2019-06-30,138.54,$38.72,3.58
2019-03-31,126.06,$37.05,3.4
2018-12-31,123.99,$37.32,3.32
2020-03-31,75.72,$51.73,1.46
2018-09-30,127.29,$29.95,4.25
2018-06-30,117.04,$27.71,4.22
2018-03-31,134.59,$26.69,5.04
2017-12-31,135.83,$29.47,4.61
2017-09-30,121.15,$22.45,5.4
2017-06-30,111.08,$23.17,4.79
2017-03-31,109.5,$22.31,4.91
2016-12-31,108.16,$21.87,4.95
2016-09-30,92.44,$33.65,2.75
2016-06-30,82.72,$31.18,2.65
2016-03-31,81.77,$32.06,2.55
2015-12-31,72.36,$30.69,2.36
2015-09-30,76.32,$28.12,2.71
2015-06-30,79.62,$28.41,2.8
2015-03-31,77.93,$28.81,2.71
2014-12-31,73.0,$32.13,2.27
2014-09-30,66.5,$23.10,2.88
2014-06-30,65.21,$25.11,2.6
2014-03-31,65.56,$-8.69,0.0
2013-12-31,63.48,$-2.79,0.0
2013-09-30,54.7,$-3.10,0.0
2013-06-30,56.18,$0.08,714.76
2020-06-30,71.15,$32.63,2.18
2012-12-31,43.17,$26.63,1.62
2012-09-30,46.46,$31.64,1.47
2012-06-30,42.54,$28.72,1.48
2012-03-31,47.39,$29.18,1.62
2011-12-31,41.5,$23.81,1.74
2013-03-31,48.33,$17.88,2.7
2011-09-30,36.37,$18.03,2.02
2011-06-30,48.01,$18.03,2.66
2011-03-31,49.43,$17.05,2.9
2010-12-31,42.21,$24.67,1.71
2010-09-30,37.86,$24.16,1.57
2010-06-30,35.75,$25.07,1.43
2010-03-31,40.98,$26.48,1.55
2009-12-31,37.08,$18.60,1.99
