Trip Group Price to Free Cash Flow Ratio Historical Data,Trip Group Price to Free Cash Flow Ratio Historical Data,Trip Group Price to Free Cash Flow Ratio Historical Data,Trip Group Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,58.0,,12.92
2024-06-30,47.0,$4.49,10.47
2024-03-31,43.89,$4.96,8.84
2023-12-31,36.01,$4.49,8.02
2023-09-30,34.97,$0.47,74.61
2023-06-30,35.0,$0.47,74.67
2023-03-31,37.67,$0.47,80.37
2022-12-31,34.4,$0.47,73.39
2022-09-30,27.31,$0.47,57.92
2022-06-30,27.45,$0.47,58.22
2022-03-31,23.12,$0.47,49.03
2021-12-31,24.62,$0.47,52.22
2021-09-30,30.75,$-1.11,0.0
2021-06-30,35.46,$-1.11,0.0
2021-03-31,39.63,$-1.11,0.0
2020-12-31,33.73,$-1.11,0.0
2020-09-30,31.14,$1.46,21.33
2020-06-30,25.92,$0.57,45.84
2020-03-31,23.45,$1.46,16.07
2019-12-31,33.54,$1.46,22.98
2019-09-30,29.29,$1.65,17.72
2019-06-30,36.91,$2.55,14.49
2019-03-31,43.69,$-0.11,0.0
2018-12-31,27.06,$1.65,16.37
2018-09-30,37.17,0,0.0
2018-06-30,47.63,0,0.0
2017-12-31,44.1,$1.77,24.97
2017-09-30,52.74,0,0.0
2017-06-30,53.86,$-0.98,0.0
2017-03-31,49.15,0,0.0
2016-09-30,46.57,0,0.0
2016-06-30,41.2,$-0.06,0.0
2015-12-31,46.33,$0.92,50.28
2018-03-31,46.62,$-0.06,0.0
2015-09-30,31.59,$-1.69,0.0
2015-06-30,36.31,$-1.63,0.0
2015-03-31,29.31,$-1.63,0.0
2014-12-31,22.75,$-1.63,0.0
2014-09-30,28.38,$0.95,29.98
2014-06-30,32.02,$0.95,33.83
2014-03-31,25.21,$0.95,26.63
2013-12-31,24.81,$0.95,26.21
2013-09-30,29.18,$0.62,46.75
2013-06-30,16.32,$0.62,26.14
2013-03-31,10.69,$0.62,17.13
2012-12-31,11.33,$0.62,18.15
2012-09-30,8.44,$0.88,9.59
2012-06-30,8.38,$0.88,9.52
2012-03-31,10.82,$0.88,12.3
2011-12-31,11.7,$0.88,13.3
2011-09-30,16.08,0,0.0
2011-03-31,20.75,0,0.0
2010-12-31,20.23,0,0.0
2010-09-30,23.88,$0.43,55.15
2010-06-30,18.78,$0.43,43.38
2010-03-31,19.6,$0.43,45.28
2009-12-31,17.97,$0.43,41.5
2009-09-30,14.7,0,0.0
