AptarGroup Price to Free Cash Flow Ratio Historical Data,AptarGroup Price to Free Cash Flow Ratio Historical Data,AptarGroup Price to Free Cash Flow Ratio Historical Data,AptarGroup Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,167.89,,34.08
2024-06-30,140.36,$4.93,28.49
2024-03-31,143.02,$3.94,36.27
2023-12-31,122.48,$4.01,30.55
2023-09-30,123.47,$3.25,37.97
2023-06-30,114.02,$2.54,44.98
2023-03-31,115.95,$2.55,45.49
2022-12-31,107.54,$2.52,42.64
2022-09-30,92.57,$1.41,65.57
2022-06-30,100.17,$0.71,140.87
2022-03-31,113.65,$1.06,107.23
2021-12-31,118.08,$0.90,131.58
2021-09-30,114.72,$2.49,46.01
2021-06-30,134.98,$3.94,34.29
2021-03-31,135.43,$4.71,28.73
2020-12-31,130.53,$4.94,26.41
2020-09-30,107.6,$4.37,24.6
2020-06-30,106.12,$4.35,24.41
2020-03-31,94.03,$4.14,22.73
2019-12-31,108.88,$4.18,26.05
2019-09-30,111.2,$3.55,31.31
2019-06-30,116.4,$2.09,55.76
2019-03-31,99.27,$1.83,54.28
2018-12-31,87.78,$1.64,53.37
2018-09-30,100.19,$1.42,70.57
2018-06-30,86.55,$2.38,36.38
2018-03-31,82.97,$2.78,29.83
2017-12-31,79.4,$2.63,30.15
2017-09-30,79.14,$3.58,22.08
2017-06-30,79.36,$3.89,20.38
2017-03-31,70.06,$3.29,21.29
2016-12-31,66.55,$3.05,21.8
2016-09-30,69.82,$2.51,27.83
2016-06-30,71.11,$1.89,37.68
2016-03-31,70.19,$2.32,30.27
2015-12-31,64.75,$2.72,23.83
2015-09-30,58.55,$3.16,18.52
2015-06-30,56.35,$3.26,17.29
2015-03-31,55.88,$2.72,20.52
2014-12-31,58.55,$2.37,24.7
2014-09-30,52.93,$1.86,28.46
2014-06-30,58.17,$1.76,32.97
2014-03-31,57.14,$1.95,29.28
2013-12-31,58.39,$1.98,29.5
2013-09-30,51.58,$2.37,21.72
2013-06-30,47.15,$2.83,16.68
2013-03-31,48.77,$2.39,20.36
2012-12-31,40.38,$2.08,19.39
2012-09-30,43.56,$1.31,33.24
2012-06-30,42.82,$1.21,35.29
2012-03-31,45.75,$1.20,38.13
2011-12-31,43.4,$1.20,36.14
2011-09-30,36.99,$1.73,21.36
2011-06-30,43.16,$1.10,39.3
2011-03-31,41.19,$1.71,24.09
2010-12-31,38.94,$2.31,16.86
2010-09-30,37.23,$1.67,22.27
2010-06-30,30.71,$2.00,15.36
2010-03-31,31.84,$1.91,16.71
2009-12-31,28.8,$1.96,14.72
