Banco De Chile Price to Free Cash Flow Ratio Historical Data,Banco De Chile Price to Free Cash Flow Ratio Historical Data,Banco De Chile Price to Free Cash Flow Ratio Historical Data,Banco De Chile Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,24.26,,5.78
2024-06-30,22.63,$4.20,5.39
2024-03-31,22.27,$4.98,4.47
2023-12-31,21.38,$4.05,5.28
2023-09-30,18.71,$7.26,2.58
2023-06-30,19.41,$2.48,7.82
2023-03-31,18.08,$2.34,7.73
2022-12-31,17.3,$0.24,73.05
2022-09-30,14.68,$7.98,1.84
2022-06-30,15.15,$0.87,17.46
2022-03-31,17.8,$-5.32,0.0
2021-09-30,14.42,$-1.50,0.0
2021-03-31,18.42,$-14.25,0.0
2020-12-31,15.46,$-6.95,0.0
2020-09-30,11.47,$-2.55,0.0
2020-06-30,13.39,$-0.13,0.0
2020-03-31,12.22,$1.85,6.62
2019-09-30,20.21,$2.18,9.27
2019-03-31,21.18,$4.58,4.62
2018-03-31,22.97,$1.80,12.74
2017-06-30,16.81,$1.05,15.99
2017-03-31,15.57,$0.10,158.83
2016-12-31,14.66,$0.39,37.31
2016-09-30,14.0,$-0.16,0.0
2016-06-30,13.05,$-1.82,0.0
2016-03-31,13.12,$-3.13,0.0
2015-12-31,11.54,$-4.57,0.0
2015-09-30,12.2,$-4.83,0.0
2015-06-30,12.43,$-1.49,0.0
2015-03-31,12.74,$-1.39,0.0
2014-09-30,13.39,$-2.88,0.0
2014-06-30,14.5,$-3.18,0.0
2014-03-31,13.63,$-2.76,0.0
2013-12-31,15.12,$-0.63,0.0
2013-09-30,15.79,$-0.97,0.0
2013-06-30,15.0,$1.16,12.97
2013-03-31,16.01,$-1.39,0.0
2012-12-31,15.53,$-2.07,0.0
2012-09-30,13.42,$-1.20,0.0
2012-06-30,13.6,$-2.44,0.0
2012-03-31,14.99,$-1.58,0.0
2011-12-31,12.42,$-1.77,0.0
2011-09-30,10.61,$-0.58,0.0
2011-06-30,13.12,$-0.58,0.0
2011-03-31,12.52,$-2.96,0.0
2010-12-31,12.59,$-0.58,0.0
2010-09-30,12.8,$-3.61,0.0
2010-06-30,8.51,$-0.83,0.0
2010-03-31,8.24,$1.55,5.34
2014-12-31,12.48,$-0.83,0.0
2009-12-31,7.2,$2.78,2.59
