ATI Price to Free Cash Flow Ratio Historical Data,ATI Price to Free Cash Flow Ratio Historical Data,ATI Price to Free Cash Flow Ratio Historical Data,ATI Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,63.33,,109.43
2024-06-30,55.45,$0.58,95.82
2024-03-31,51.17,$0.45,114.4
2023-12-31,45.47,$-0.74,0.0
2023-09-30,41.15,$-1.21,0.0
2023-06-30,44.23,$0.74,60.18
2023-03-31,39.46,$-0.07,0.0
2022-12-31,29.86,$0.64,46.5
2022-09-30,26.61,$0.19,136.74
2022-06-30,22.71,$-1.71,0.0
2022-03-31,26.84,$-1.61,0.0
2021-12-31,15.93,$-0.76,0.0
2021-09-30,16.63,$-1.62,0.0
2021-06-30,20.85,$-0.37,0.0
2021-03-31,21.06,$0.52,40.5
2020-12-31,16.77,$0.29,58.43
2020-09-30,8.72,$0.80,10.88
2020-06-30,10.19,$1.30,7.82
2020-03-31,8.5,$1.30,6.54
2019-12-31,20.66,$1.05,19.67
2019-09-30,20.25,$1.53,13.22
2019-06-30,25.2,$1.13,22.26
2019-03-31,25.57,$1.15,22.24
2018-12-31,21.77,$1.76,12.39
2018-09-30,29.55,$0.52,56.88
2018-06-30,25.12,$-0.03,0.0
2018-03-31,23.68,$-0.44,0.0
2017-12-31,24.14,$-0.89,0.0
2017-09-30,23.9,$-1.92,0.0
2017-06-30,17.01,$-2.17,0.0
2017-03-31,17.96,$-3.34,0.0
2016-12-31,15.93,$-2.50,0.0
2016-06-30,12.69,$-2.05,0.0
2016-03-31,16.12,$-1.24,0.0
2015-12-31,11.07,$-0.12,0.0
2015-09-30,13.85,$0.30,46.68
2015-06-30,29.22,$-0.06,0.0
2015-03-31,28.89,$-0.78,0.0
2014-12-31,33.29,$-1.59,0.0
2014-09-30,35.31,$-1.41,0.0
2014-06-30,42.74,$-1.98,0.0
2014-03-31,35.55,$-1.64,0.0
2013-12-31,33.43,$-0.95,0.0
2016-09-30,18.07,$-2.67,0.0
2013-09-30,28.48,$-1.17,0.0
2013-06-30,24.39,$-0.23,0.0
2013-03-31,29.22,$-0.17,0.0
2012-12-31,27.83,$0.42,66.49
2012-09-30,29.05,$0.70,41.23
2012-06-30,28.89,$0.74,39.31
2012-03-31,37.1,$0.26,145.51
2011-12-31,42.89,$0.16,262.64
2011-09-30,33.06,$-0.47,0.0
2011-06-30,56.51,$-0.73,0.0
2011-03-31,60.12,$-1.55,0.0
2010-12-31,48.85,$-1.95,0.0
2010-09-30,40.99,$-2.39,0.0
2010-06-30,38.85,$-3.35,0.0
2010-03-31,47.3,$-3.87,0.0
2009-12-31,39.08,$-2.01,0.0
