Polaris Price to Free Cash Flow Ratio Historical Data,Polaris Price to Free Cash Flow Ratio Historical Data,Polaris Price to Free Cash Flow Ratio Historical Data,Polaris Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,82.6,,17.52
2024-06-30,77.69,$4.71,16.48
2024-03-31,99.33,$5.28,18.82
2023-12-31,93.35,$8.89,10.5
2023-09-30,101.78,$5.81,17.53
2023-06-30,117.51,$8.73,13.46
2023-03-31,106.86,$5.59,19.12
2022-12-31,97.0,$3.36,28.86
2022-09-30,91.35,$-0.58,0.0
2022-06-30,94.28,$-4.12,0.0
2022-03-31,99.42,$-1.71,0.0
2021-12-31,103.21,$0.17,593.85
2021-09-30,111.74,$3.77,29.62
2021-06-30,127.22,$10.79,11.79
2021-03-31,123.42,$6.70,18.43
2020-12-31,87.61,$9.05,9.68
2020-09-30,86.19,$7.60,11.33
2020-06-30,84.04,$5.35,15.72
2019-12-31,91.07,$6.48,14.05
2019-09-30,78.32,$9.81,7.98
2019-06-30,80.59,$5.00,16.13
2019-03-31,74.02,$4.35,17.03
2018-12-31,66.75,$7.93,8.42
2020-03-31,43.44,$1.18,36.79
2018-09-30,87.33,$3.54,24.67
2018-06-30,105.12,$4.34,24.21
2018-03-31,98.0,$5.21,18.8
2017-12-31,105.55,$6.25,16.89
2017-09-30,88.66,$7.47,11.87
2017-06-30,77.67,$5.15,15.09
2017-03-31,70.09,$4.70,14.92
2016-12-31,68.45,$5.84,11.72
2016-09-30,63.93,$2.32,27.6
2016-06-30,67.09,$6.34,10.58
2016-03-31,80.29,$4.49,17.88
2015-12-31,69.66,$2.83,24.64
2015-09-30,96.66,$6.00,16.1
2015-06-30,118.96,$4.34,27.41
2015-03-31,112.91,$4.29,26.33
2014-12-31,120.62,$4.75,25.39
2014-09-30,119.1,$4.19,28.45
2014-06-30,103.22,$3.71,27.85
2014-03-31,110.32,$-0.92,0.0
2013-12-31,114.58,$0.75,152.37
2013-09-30,101.31,$2.14,47.44
2013-06-30,74.23,$0.44,167.33
2012-12-31,65.14,$4.41,14.78
2012-09-30,62.33,$5.62,11.09
2012-06-30,54.83,$3.59,15.29
2012-03-31,55.08,$4.37,12.61
2011-12-31,42.5,$5.17,8.22
2013-03-31,71.95,$2.01,35.79
2011-09-30,37.8,$3.65,10.36
2011-06-30,41.88,$3.29,12.74
2011-03-31,32.65,$3.38,9.66
2010-12-31,29.09,$3.52,8.27
2010-09-30,24.14,$3.02,8.0
2010-06-30,20.12,$3.30,6.1
2010-03-31,18.72,$2.91,6.43
2009-12-31,15.83,$2.26,7.01
