Inspire Medical Systems Price to Free Cash Flow Ratio Historical Data,Inspire Medical Systems Price to Free Cash Flow Ratio Historical Data,Inspire Medical Systems Price to Free Cash Flow Ratio Historical Data,Inspire Medical Systems Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,197.18,,0.0
2024-06-30,133.83,$-0.30,0.0
2024-03-31,214.79,$0.11,1879.18
2023-12-31,203.43,$0.03,5828.94
2023-09-30,198.44,$0.30,663.68
2023-06-30,324.64,$0.70,467.11
2023-03-31,234.07,$0.42,556.91
2022-12-31,251.88,$0.09,2859.02
2022-09-30,177.37,$-0.48,0.0
2022-06-30,182.67,$-0.82,0.0
2022-03-31,256.69,$-0.98,0.0
2021-12-31,230.06,$-0.91,0.0
2021-09-30,232.88,$-1.15,0.0
2021-06-30,193.26,$-1.44,0.0
2021-03-31,206.99,$-1.94,0.0
2020-12-31,188.09,$-2.13,0.0
2020-09-30,129.05,$-2.17,0.0
2020-06-30,87.02,$-1.99,0.0
2020-03-31,60.28,$-1.64,0.0
2019-12-31,74.21,$-1.49,0.0
2019-09-30,61.02,$-1.76,0.0
2019-06-30,60.65,$-1.42,0.0
2019-03-31,56.78,$-1.78,0.0
