NetEase Price to Free Cash Flow Ratio Historical Data,NetEase Price to Free Cash Flow Ratio Historical Data,NetEase Price to Free Cash Flow Ratio Historical Data,NetEase Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,79.73,,10.24
2024-06-30,95.05,$7.79,12.2
2024-03-31,102.35,$7.91,12.94
2023-12-31,91.26,$7.15,12.75
2023-09-30,97.69,$6.60,14.81
2023-06-30,93.8,$6.03,15.57
2023-03-31,85.37,$5.91,14.44
2022-12-31,69.88,$5.64,12.39
2022-09-30,72.28,$5.52,13.1
2022-06-30,88.89,$5.55,16.03
2022-03-31,85.14,$5.21,16.35
2021-12-31,96.13,$5.45,17.64
2021-09-30,80.5,$5.59,14.39
2021-06-30,108.34,$5.29,20.49
2021-03-31,96.81,$5.26,18.41
2020-12-31,89.74,$5.46,16.45
2020-09-30,85.02,$6.97,12.2
2020-06-30,80.06,$5.90,13.58
2020-03-31,59.68,$4.23,14.1
2019-12-31,56.82,$3.55,16.0
2019-09-30,48.16,$2.43,19.78
2019-06-30,46.08,$2.43,18.93
2019-03-31,43.38,$2.82,15.38
2018-12-31,42.2,$2.43,17.34
2018-09-30,40.92,$2.33,17.57
2018-06-30,45.17,$2.33,19.39
2018-03-31,50.07,$1.82,27.56
2017-12-31,61.55,$2.33,26.42
2017-09-30,46.95,$3.13,15.02
2017-06-30,53.34,$3.13,17.06
2017-03-31,50.2,$3.94,12.75
2016-12-31,37.94,$3.13,12.14
2016-09-30,42.28,$1.68,25.1
2016-06-30,33.81,$1.68,20.07
2016-03-31,25.01,$1.24,20.14
2015-12-31,31.43,$1.68,18.66
2015-09-30,20.76,$1.31,15.86
2015-06-30,24.94,$1.31,19.05
2015-03-31,18.08,$1.35,13.36
2014-12-31,16.96,$1.31,12.96
2014-09-30,14.6,$1.27,11.49
2014-06-30,13.3,$1.27,10.47
2014-03-31,11.37,$1.29,8.78
2013-12-31,13.01,$1.27,10.24
2013-09-30,12.02,$0.99,12.15
2013-06-30,10.46,$0.99,10.57
2013-03-31,9.07,$1.05,8.66
2012-12-31,6.89,$0.99,6.96
2012-09-30,9.09,$0.70,13.08
2012-06-30,9.53,$0.89,10.74
2012-03-31,9.41,$1.01,9.3
2011-12-31,7.26,$0.89,8.18
2011-09-30,6.18,$0.79,7.87
2011-06-30,7.3,$0.59,12.31
2011-03-31,8.02,$0.65,12.37
2010-12-31,5.85,$0.59,9.87
2010-09-30,6.39,$0.38,16.84
2010-06-30,5.13,$0.31,16.54
2010-03-31,5.75,$0.39,14.6
2009-12-31,6.09,$0.38,16.07
