Lennox Price to Free Cash Flow Ratio Historical Data,Lennox Price to Free Cash Flow Ratio Historical Data,Lennox Price to Free Cash Flow Ratio Historical Data,Lennox Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,603.55,,38.54
2024-06-30,533.96,$15.66,34.1
2024-03-31,486.79,$15.42,31.56
2023-12-31,444.71,$13.67,32.53
2023-09-30,371.17,$11.31,32.81
2023-06-30,322.28,$7.91,40.77
2023-03-31,247.51,$5.85,42.34
2022-12-31,234.63,$5.66,41.42
2022-09-30,217.44,$4.98,43.64
2022-06-30,200.85,$6.17,32.56
2022-03-31,249.39,$8.64,28.88
2021-12-31,312.63,$10.92,28.62
2021-09-30,282.73,$12.61,22.43
2021-06-30,336.13,$18.25,18.42
2021-03-31,297.77,$15.95,18.67
2020-12-31,261.18,$13.86,18.85
2020-09-30,259.15,$16.29,15.91
2020-06-30,220.86,$10.59,20.85
2020-03-31,171.75,$8.65,19.85
2019-12-31,229.53,$7.41,30.99
2019-09-30,227.86,$6.80,33.5
2019-06-30,257.09,$7.50,34.27
2019-03-31,246.48,$7.83,31.5
2018-12-31,203.54,$9.74,20.89
2018-09-30,202.52,$7.87,25.72
2018-06-30,185.05,$5.53,33.45
2018-03-31,188.33,$5.83,32.32
2017-12-31,191.43,$5.30,36.09
2017-09-30,164.11,$6.66,24.63
2017-06-30,167.91,$5.97,28.11
2017-03-31,152.55,$6.35,24.03
2016-12-31,139.31,$6.59,21.15
2016-09-30,142.42,$6.45,22.07
2016-06-30,128.98,$6.58,19.62
2016-03-31,121.9,$6.50,18.76
2015-12-31,112.32,$6.22,18.05
2015-09-30,101.63,$4.06,25.04
2015-06-30,96.27,$2.45,39.35
2015-03-31,99.51,$1.78,56.01
2014-12-31,84.47,$2.01,42.11
2014-09-30,68.09,$1.44,47.28
2014-06-30,79.03,$2.54,31.11
2014-03-31,79.95,$2.73,29.24
2013-12-31,74.6,$2.66,28.09
2013-09-30,65.61,$3.10,21.18
2013-06-30,56.26,$1.66,33.9
2013-03-31,55.14,$1.20,45.76
2012-12-31,45.47,$3.33,13.64
2012-09-30,41.53,$1.89,21.93
2012-06-30,40.05,$3.07,13.04
2012-03-31,34.46,$2.75,12.51
2011-12-31,28.73,$0.66,43.83
2011-09-30,21.82,$1.78,12.24
2011-06-30,36.23,$0.43,83.94
2011-03-31,44.04,$0.57,77.44
2010-12-31,39.47,$2.56,15.42
2010-09-30,34.69,$0.05,733.4
2010-06-30,34.46,$1.06,32.42
2010-03-31,36.62,$1.93,19.0
2009-12-31,32.15,$2.96,10.88
