Rambus Price to Free Cash Flow Ratio Historical Data,Rambus Price to Free Cash Flow Ratio Historical Data,Rambus Price to Free Cash Flow Ratio Historical Data,Rambus Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,42.7,,72.06
2024-06-30,58.76,$0.59,99.16
2023-12-31,68.25,$1.56,43.86
2023-09-30,55.79,$2.69,20.77
2023-06-30,64.17,$2.62,24.53
2023-03-31,51.26,$2.89,17.74
2022-12-31,35.82,$3.06,11.71
2024-03-31,61.81,$1.81,34.06
2022-09-30,25.42,$2.05,12.41
2022-06-30,21.49,$1.78,12.09
2022-03-31,31.89,$1.75,18.19
2021-12-31,29.39,$1.70,17.28
2021-09-30,22.2,$1.44,15.44
2021-06-30,23.71,$1.36,17.44
2021-03-31,19.44,$1.38,14.06
2020-12-31,17.46,$1.38,12.7
2020-09-30,13.69,$1.38,9.94
2020-06-30,15.2,$1.28,11.89
2020-03-31,11.1,$1.16,9.59
2019-12-31,13.78,$1.10,12.52
2019-09-30,13.13,$1.09,12.0
2019-06-30,12.04,$1.15,10.5
2019-03-31,10.45,$0.86,12.2
2018-12-31,7.67,$0.74,10.38
2018-09-30,10.91,$0.96,11.34
2018-06-30,12.54,$0.81,15.5
2018-03-31,13.43,$0.99,13.62
2017-12-31,14.22,$0.98,14.5
2017-09-30,13.35,$0.74,18.16
2017-06-30,11.43,$0.70,16.31
2017-03-31,13.14,$0.76,17.32
2016-12-31,13.77,$0.77,17.87
2016-09-30,12.5,$0.69,17.99
2016-06-30,12.08,$0.73,16.54
2016-03-31,13.75,$0.63,21.75
2015-12-31,11.59,$0.61,19.15
2015-09-30,11.81,$0.60,19.74
2015-06-30,14.49,$0.67,21.61
2015-03-31,12.58,$0.58,21.65
2014-12-31,11.09,$0.59,18.83
2014-09-30,12.48,$0.57,21.83
2014-06-30,14.3,$0.60,23.68
2014-03-31,10.75,$0.43,24.79
2013-12-31,9.47,$0.41,22.96
2013-09-30,9.4,$0.21,45.37
2013-06-30,8.59,$0.02,520.61
2013-03-31,5.61,$-0.12,0.0
2012-12-31,4.87,$-0.35,0.0
2012-09-30,5.54,$-0.33,0.0
2012-06-30,5.74,$-0.09,0.0
2012-03-31,6.45,$0.28,22.99
2011-12-31,7.55,$0.31,24.72
2011-09-30,14.0,$0.63,22.32
2011-06-30,14.68,$0.31,47.77
2011-03-31,19.75,$0.19,102.54
2010-12-31,20.48,$1.80,11.37
2010-09-30,20.84,$1.34,15.55
2010-06-30,17.52,$1.31,13.36
2010-03-31,21.85,$1.11,19.73
2009-12-31,24.4,$-0.41,0.0
