Axonics Price to Free Cash Flow Ratio Historical Data,Axonics Price to Free Cash Flow Ratio Historical Data,Axonics Price to Free Cash Flow Ratio Historical Data,Axonics Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,70.3,,183.84
2024-06-30,67.23,$0.38,175.81
2024-03-31,68.97,$-0.32,0.0
2023-12-31,62.23,$-0.11,0.0
2023-09-30,56.12,$-0.01,0.0
2023-06-30,50.47,$-0.17,0.0
2023-03-31,54.56,$1.14,47.9
2022-12-31,62.53,$0.95,65.77
2022-09-30,70.44,$0.72,98.06
2022-06-30,56.67,$0.41,139.03
2021-12-31,56.0,$-1.15,0.0
2021-09-30,65.09,$-1.80,0.0
2021-06-30,63.41,$-2.20,0.0
2021-03-31,59.89,$-2.28,0.0
2020-12-31,49.92,$-2.34,0.0
2020-09-30,51.04,$-2.44,0.0
2020-06-30,35.11,$-2.85,0.0
2020-03-31,25.41,$-3.20,0.0
2019-12-31,27.71,$-2.97,0.0
2019-09-30,26.92,$-6.45,0.0
2019-06-30,40.97,$-5.81,0.0
