Vipshop Holdings Price to Free Cash Flow Ratio Historical Data,Vipshop Holdings Price to Free Cash Flow Ratio Historical Data,Vipshop Holdings Price to Free Cash Flow Ratio Historical Data,Vipshop Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,14.44,,4.64
2024-06-30,13.02,$3.12,4.18
2024-03-31,16.55,$3.12,5.31
2023-12-31,17.33,$3.12,5.56
2023-09-30,15.62,$1.84,8.49
2023-06-30,16.1,$1.84,8.75
2023-03-31,14.81,$1.84,8.05
2022-12-31,13.31,$1.84,7.23
2022-09-30,8.21,$1.00,8.23
2022-06-30,9.65,$1.00,9.68
2022-03-31,8.78,$1.00,8.81
2021-12-31,8.2,$1.00,8.22
2021-09-30,10.87,$2.20,4.95
2021-06-30,19.59,$2.20,8.92
2021-03-31,29.13,$2.20,13.27
2020-12-31,27.43,$2.20,12.49
2020-09-30,15.26,$1.90,8.01
2020-06-30,19.43,$1.90,10.2
2020-03-31,15.2,$1.90,7.98
2019-12-31,13.83,$1.90,7.26
2019-09-30,8.7,$0.67,12.97
2019-06-30,8.42,$0.67,12.55
2019-03-31,7.83,$0.67,11.68
2018-12-31,5.33,$0.67,7.94
2018-09-30,6.09,$-0.30,0.0
2018-06-30,10.59,$-0.30,0.0
2018-03-31,16.22,$-0.30,0.0
2017-12-31,11.44,$-0.30,0.0
2017-09-30,8.58,$0.20,42.71
2017-06-30,10.29,$0.20,51.26
2017-03-31,13.02,$0.20,64.82
2016-12-31,10.74,$0.20,53.5
2016-09-30,14.31,$-0.06,0.0
2016-06-30,10.9,$-0.06,0.0
2016-03-31,12.57,$-0.06,0.0
2015-12-31,14.9,$-0.06,0.0
2015-09-30,16.39,$0.40,41.28
2015-06-30,21.71,$0.40,54.67
2015-03-31,28.72,$0.40,72.34
2014-12-31,19.07,$0.40,48.01
2014-09-30,18.44,$0.71,26.11
2014-06-30,18.32,$0.71,25.94
2014-03-31,14.57,$0.71,20.62
2013-12-31,8.16,$0.71,11.56
2013-09-30,5.54,$0.19,29.6
2013-06-30,2.85,$0.19,15.2
2013-03-31,2.96,$0.19,15.83
2012-12-31,1.74,$0.19,9.3
