Nova Price to Free Cash Flow Ratio Historical Data,Nova Price to Free Cash Flow Ratio Historical Data,Nova Price to Free Cash Flow Ratio Historical Data,Nova Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,187.2,,33.56
2024-06-30,234.53,$5.58,42.05
2024-03-31,177.38,$4.44,39.97
2023-12-31,137.39,$3.31,41.46
2023-09-30,112.44,$3.93,28.61
2023-06-30,117.3,$3.43,34.19
2023-03-31,104.47,$3.43,30.43
2022-12-31,81.68,$3.08,26.5
2022-09-30,85.3,$2.38,35.78
2022-06-30,88.53,$3.29,26.95
2022-03-31,108.88,$3.45,31.53
2021-12-31,146.5,$4.27,34.27
2021-09-30,102.29,$3.85,26.55
2021-06-30,102.89,$2.76,37.24
2021-03-31,91.01,$2.56,35.5
2020-12-31,70.6,$1.86,37.98
2020-09-30,52.14,$2.01,25.94
2020-06-30,48.19,$1.40,34.46
2020-03-31,32.65,$0.54,60.4
2019-12-31,37.83,$0.68,55.66
2019-09-30,31.77,$0.74,43.1
2019-06-30,25.59,$0.79,32.58
2019-03-31,25.18,$1.26,20.01
2018-12-31,22.78,$1.13,20.21
2018-09-30,26.31,$0.93,28.33
2018-06-30,27.25,$1.13,24.1
2018-03-31,27.13,$1.57,17.31
2017-12-31,25.91,$1.95,13.31
2017-09-30,28.11,$1.65,16.99
2017-06-30,22.09,$1.27,17.44
2017-03-31,18.59,$0.70,26.49
2016-12-31,13.16,$-0.27,0.0
2016-09-30,11.82,$0.23,51.39
2016-06-30,10.94,$0.57,19.36
2016-03-31,10.41,$0.58,17.88
2015-12-31,9.8,$0.78,12.51
2015-09-30,9.62,$0.79,12.21
2015-06-30,12.5,$0.71,17.54
2015-03-31,11.52,$0.62,18.64
2014-12-31,10.39,$1.03,10.09
2014-09-30,10.8,$0.62,17.43
2014-06-30,12.01,$0.54,22.23
2014-03-31,11.2,$0.60,18.75
2013-12-31,9.84,$0.25,39.41
2013-09-30,8.87,$0.17,50.89
2013-06-30,9.05,$0.21,44.0
2013-03-31,9.0,$0.26,34.99
2012-12-31,7.98,$0.15,53.81
2012-09-30,7.8,$0.36,21.42
2012-06-30,8.72,$0.44,19.6
2012-03-31,8.96,$0.54,16.55
2011-12-31,7.37,$0.84,8.73
2011-09-30,5.37,$0.95,5.65
2011-06-30,10.12,$1.03,9.84
2011-03-31,9.78,$1.00,9.76
2010-12-31,8.31,$0.91,9.16
2010-09-30,5.9,$0.78,7.6
2010-06-30,4.15,$0.59,6.99
2010-03-31,5.48,$0.27,20.14
2009-12-31,6.46,$-0.10,0.0
