Badger Meter Price to Free Cash Flow Ratio Historical Data,Badger Meter Price to Free Cash Flow Ratio Historical Data,Badger Meter Price to Free Cash Flow Ratio Historical Data,Badger Meter Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,205.95,,51.83
2024-06-30,186.04,$3.97,46.82
2024-03-31,161.32,$3.50,46.06
2023-12-31,153.64,$3.33,46.13
2023-09-30,142.93,$3.08,46.38
2023-06-30,146.35,$2.86,51.11
2023-03-31,120.62,$2.80,43.15
2022-12-31,107.75,$2.61,41.34
2022-09-30,91.13,$2.53,36.04
2022-06-30,79.61,$2.26,35.3
2022-03-31,97.88,$2.05,47.82
2021-12-31,104.39,$2.75,37.92
2021-09-30,98.89,$2.29,43.11
2021-06-30,95.76,$2.48,38.63
2021-03-31,90.66,$1.23,73.63
2020-12-31,91.47,$0.85,107.38
2020-09-30,63.43,$1.07,59.07
2020-06-30,60.88,$1.13,53.93
2019-12-31,62.48,$2.51,24.94
2019-09-30,51.54,$2.56,20.17
2019-06-30,57.1,$2.33,24.47
2019-03-31,53.07,$2.18,24.36
2018-12-31,46.82,$1.77,26.43
2018-09-30,50.38,$1.13,44.6
2018-06-30,42.41,$0.83,51.39
2018-03-31,44.61,$0.34,130.85
2017-12-31,45.1,$1.19,37.86
2017-09-30,46.1,$1.64,28.16
2017-06-30,37.38,$1.86,20.13
2020-03-31,51.72,$2.03,25.43
2016-12-31,34.45,$1.57,21.95
2016-09-30,31.15,$1.37,22.69
2016-06-30,33.88,$1.32,25.68
2016-03-31,30.82,$1.08,28.49
2015-12-31,27.06,$0.84,32.06
2017-03-31,34.38,$0.71,48.54
2015-09-30,26.73,$0.55,48.5
2015-06-30,29.13,$0.50,57.73
2015-03-31,27.42,$0.27,103.2
2014-12-31,27.06,$0.48,56.49
2014-09-30,22.93,$0.62,36.86
2013-12-31,24.51,$0.71,34.51
2013-09-30,20.84,$1.38,15.16
2013-06-30,19.89,$0.57,34.81
2013-03-31,23.8,$0.57,41.83
2012-12-31,21.01,$0.62,33.64
2014-06-30,23.84,$0.22,107.87
2012-09-30,16.07,$0.79,20.22
2012-06-30,16.5,$1.37,12.07
2012-03-31,14.87,$1.16,12.79
2011-12-31,12.81,$1.26,10.19
2011-09-30,12.53,$1.27,9.87
2014-03-31,24.86,$0.50,49.8
2011-06-30,15.94,$0.61,26.27
2011-03-31,17.69,$0.31,57.49
2010-12-31,18.92,$0.31,62.01
2010-09-30,17.26,$0.57,30.44
2010-06-30,16.44,$0.81,20.37
2010-03-31,16.31,$0.81,20.03
2009-12-31,16.81,$0.96,17.43
