OneMain Holdings Price to Free Cash Flow Ratio Historical Data,OneMain Holdings Price to Free Cash Flow Ratio Historical Data,OneMain Holdings Price to Free Cash Flow Ratio Historical Data,OneMain Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,47.75,,2.26
2024-06-30,47.38,$21.13,2.24
2024-03-31,48.93,$20.88,2.34
2023-12-31,46.13,$20.88,2.21
2023-09-30,36.63,$20.49,1.79
2023-06-30,39.04,$20.06,1.95
2023-03-31,32.2,$19.49,1.65
2022-12-31,28.29,$19.19,1.47
2022-09-30,24.44,$18.50,1.32
2022-06-30,30.16,$17.94,1.68
2022-03-31,37.46,$17.10,2.19
2021-12-31,38.83,$16.89,2.3
2021-09-30,42.38,$16.61,2.55
2021-06-30,42.81,$15.83,2.7
2021-03-31,37.91,$16.37,2.32
2020-12-31,31.41,$16.40,1.92
2020-09-30,20.13,$21.03,0.96
2020-06-30,14.65,$22.26,0.66
2020-03-31,11.26,$21.48,0.52
2019-12-31,23.21,$21.67,1.07
2019-06-30,17.43,$16.50,1.06
2019-03-31,16.24,$14.98,1.08
2018-12-31,12.33,$15.04,0.82
2018-09-30,17.06,$9.48,1.8
2018-06-30,16.9,$9.27,1.82
2018-03-31,15.2,$10.08,1.51
2017-12-31,13.2,$8.19,1.61
2019-09-30,20.08,$12.68,1.58
2017-09-30,14.31,$10.45,1.37
2017-06-30,12.48,$10.36,1.21
2017-03-31,12.62,$9.97,1.26
2016-12-31,11.24,$9.78,1.15
2016-09-30,15.71,$14.37,1.09
