Houlihan Lokey Price to Free Cash Flow Ratio Historical Data,Houlihan Lokey Price to Free Cash Flow Ratio Historical Data,Houlihan Lokey Price to Free Cash Flow Ratio Historical Data,Houlihan Lokey Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,173.93,,63.49
2024-06-30,134.35,$2.74,49.05
2024-03-31,127.71,$7.02,18.19
2023-09-30,105.72,$3.74,28.24
2023-06-30,96.53,$3.18,30.39
2023-03-31,85.37,$1.27,67.45
2022-12-31,84.57,$-0.98,0.0
2022-09-30,72.75,$5.93,12.27
2022-06-30,75.66,$7.89,9.59
2022-03-31,83.64,$10.66,7.84
2021-12-31,98.19,$13.70,7.17
2021-09-30,87.0,$10.07,8.64
2021-06-30,76.9,$8.68,8.86
2021-03-31,62.17,$8.24,7.55
2020-12-31,62.53,$6.90,9.06
2020-09-30,54.65,$3.97,13.78
2020-06-30,51.21,$1.57,32.67
2020-03-31,47.72,$5.84,8.17
2019-12-31,44.48,$1.43,31.12
2019-09-30,40.79,$1.96,20.86
2023-12-31,118.95,$3.83,31.07
2019-06-30,39.99,$3.34,11.97
2019-03-31,40.9,$3.30,12.38
2018-12-31,32.64,$2.96,11.03
2018-09-30,39.59,$2.92,13.54
2018-06-30,44.88,$2.82,15.94
2018-03-31,38.86,$3.66,10.61
2017-12-31,39.41,$3.52,11.2
2017-09-30,33.79,$4.04,8.36
2017-06-30,29.97,$3.74,8.02
2017-03-31,29.41,$3.57,8.24
2016-12-31,26.4,$2.75,9.6
2016-09-30,21.13,$1.48,14.32
2016-06-30,18.74,$-1.10,0.0
