SAP SE Price to Free Cash Flow Ratio Historical Data,SAP SE Price to Free Cash Flow Ratio Historical Data,SAP SE Price to Free Cash Flow Ratio Historical Data,SAP SE Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,228.84,,33.94
2024-06-30,201.71,$6.74,29.92
2024-03-31,192.62,$6.18,31.18
2023-12-31,152.68,$5.81,26.29
2023-09-30,127.72,$6.06,21.08
2023-06-30,135.12,$5.56,24.28
2023-03-31,122.94,$4.87,25.25
2022-12-31,100.25,$5.06,19.8
2022-09-30,78.93,$4.36,18.11
2022-06-30,88.13,$4.88,18.05
2022-03-31,104.93,$5.45,19.25
2021-12-31,132.49,$6.24,21.24
2021-09-30,127.7,$6.86,18.62
2021-06-30,132.82,$7.28,18.24
2021-03-31,114.21,$7.34,15.56
2020-12-31,121.27,$6.95,17.44
2020-09-30,144.92,$5.24,27.67
2020-06-30,130.21,$4.28,30.44
2020-03-31,101.26,$3.38,29.98
2019-12-31,122.79,$3.28,37.44
2019-09-30,108.02,$3.95,27.33
2019-06-30,125.37,$3.80,33.02
2019-03-31,104.83,$4.28,24.5
2018-12-31,90.39,$4.26,21.24
2018-09-30,111.68,$4.41,25.33
2018-06-30,105.01,$4.80,21.86
2018-03-31,94.11,$3.63,25.91
2017-12-31,100.55,$1.69,59.59
2017-09-30,98.12,$1.30,75.62
2017-06-30,93.67,$0.94,99.29
2016-12-31,76.32,$4.07,18.74
2016-09-30,80.72,$3.74,21.59
2016-06-30,66.24,$3.56,18.61
2016-03-31,69.84,$3.44,20.29
2015-12-31,68.69,$3.37,20.37
2015-09-30,56.26,$3.57,15.75
2015-06-30,60.99,$3.59,17.0
2015-03-31,61.68,$3.51,17.57
2014-12-31,59.52,$3.98,14.97
2014-09-30,61.67,$4.46,13.82
2014-06-30,65.81,$4.82,13.66
2014-03-31,68.23,$7.11,9.59
2013-12-31,73.12,$4.74,15.42
2013-09-30,62.03,$6.08,10.2
2017-03-31,86.69,$6.28,13.8
2013-06-30,61.12,$4.35,14.05
2013-03-31,66.86,$4.33,15.42
2012-12-31,66.73,$4.22,15.79
2012-09-30,59.21,$3.73,15.88
2012-06-30,49.28,$3.83,12.86
2012-03-31,57.65,$4.29,13.44
2011-12-31,43.72,$3.69,11.85
2011-09-30,41.79,$4.07,10.26
2011-06-30,50.07,$4.02,12.45
2011-03-31,50.15,$3.77,13.29
2010-12-31,41.36,$2.95,14.02
2010-09-30,40.3,$2.75,14.66
2010-06-30,36.2,$4.94,7.33
2010-03-31,38.98,$2.87,13.6
2009-12-31,37.88,$3.56,10.64
