BWX Technologies Price to Free Cash Flow Ratio Historical Data,BWX Technologies Price to Free Cash Flow Ratio Historical Data,BWX Technologies Price to Free Cash Flow Ratio Historical Data,BWX Technologies Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,125.1,,45.51
2024-06-30,94.77,$2.75,34.48
2024-03-31,102.09,$2.81,36.38
2023-12-31,76.16,$2.31,32.94
2023-09-30,74.2,$0.93,79.78
2023-06-30,70.6,$0.73,96.13
2023-03-31,61.98,$0.67,92.61
2022-12-31,56.89,$0.51,112.46
2022-09-30,49.16,$0.94,52.46
2022-06-30,53.55,$0.67,80.29
2022-03-31,52.12,$0.20,260.09
2021-12-31,46.14,$0.79,58.17
2021-09-30,51.7,$-0.40,0.0
2021-06-30,55.57,$-1.16,0.0
2021-03-31,62.84,$0.09,662.14
2020-12-31,57.24,$-0.61,0.0
2020-09-30,53.29,$1.01,52.66
2020-06-30,53.43,$1.73,30.81
2020-03-31,45.79,$0.92,49.73
2019-12-31,58.15,$1.02,57.29
2019-09-30,53.44,$0.96,55.91
2019-06-30,48.51,$0.47,104.18
2019-03-31,46.01,$0.31,148.27
2018-12-31,35.35,$0.60,58.98
2018-09-30,57.62,$-0.39,0.0
2018-06-30,57.27,$0.73,78.71
2018-03-31,58.25,$1.56,37.22
2017-12-31,55.33,$1.25,44.4
2017-09-30,51.14,$2.16,23.64
2017-06-30,44.42,$1.64,27.13
2017-03-31,43.27,$1.34,32.28
2016-12-31,36.02,$1.80,19.97
2016-09-30,34.74,$1.35,25.78
2016-06-30,32.31,$2.60,12.42
2016-03-31,30.23,$2.42,12.51
2015-12-31,28.54,$2.48,11.51
2015-09-30,23.63,$3.08,7.67
2015-06-30,21.76,$1.76,12.35
2015-03-31,21.23,$1.11,19.2
2014-12-31,19.98,$0.04,467.92
2014-09-30,18.2,$-0.21,0.0
2014-06-30,21.26,$-0.48,0.0
2014-03-31,21.68,$-0.17,0.0
2013-12-31,22.26,$0.65,34.39
2013-09-30,21.89,$1.52,14.38
2013-06-30,19.44,$1.61,12.09
2013-03-31,18.34,$1.48,12.38
2012-12-31,16.86,$0.83,20.42
2012-09-30,16.34,$0.53,30.98
2012-06-30,15.71,$0.66,23.79
2012-03-31,16.52,$0.75,22.16
2011-12-31,15.48,$0.93,16.71
2011-09-30,12.54,$1.08,11.6
2011-06-30,17.77,$0.39,46.02
