Ciena Price to Free Cash Flow Ratio Historical Data,Ciena Price to Free Cash Flow Ratio Historical Data,Ciena Price to Free Cash Flow Ratio Historical Data,Ciena Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,66.51,,34.57
2024-07-31,52.74,$1.92,27.41
2024-04-30,46.23,$3.05,15.16
2024-01-31,53.0,$4.10,12.92
2023-10-31,42.2,$0.42,101.44
2023-07-31,42.2,$-0.97,0.0
2023-04-30,46.04,$-2.37,0.0
2023-01-31,52.02,$-3.48,0.0
2022-10-31,47.9,$-1.70,0.0
2022-07-31,51.6,$0.08,609.21
2022-04-30,55.17,$1.93,28.51
2022-01-31,66.31,$2.94,22.59
2021-10-31,54.29,$2.95,18.42
2021-07-31,58.14,$2.47,23.56
2021-04-30,50.47,$3.14,16.06
2021-01-31,53.39,$2.37,22.52
2020-10-31,39.39,$2.64,14.95
2020-07-31,59.51,$3.00,19.81
2020-04-30,46.25,$2.43,19.04
2020-01-31,40.67,$2.49,16.31
2019-10-31,37.12,$2.22,16.69
2019-07-31,45.22,$1.22,37.07
2019-04-30,38.36,$1.19,32.18
2019-01-31,38.09,$0.87,43.85
2018-10-31,31.26,$1.12,27.8
2018-07-31,25.4,$1.61,15.81
2018-04-30,25.75,$1.47,17.53
2018-01-31,21.28,$0.90,23.77
2017-10-31,21.27,$1.61,13.19
2017-04-30,22.91,$0.96,23.9
2017-01-31,24.34,$0.95,25.73
2016-10-31,19.38,$1.21,16.02
2016-07-31,19.19,$1.05,18.2
2016-04-30,16.83,$1.53,10.99
2016-01-31,17.77,$1.46,12.15
2015-10-31,24.14,$1.67,14.5
2015-07-31,25.45,$1.59,15.98
2015-04-30,21.3,$1.28,16.7
2015-01-31,18.52,$1.00,18.5
2014-10-31,16.76,$0.39,42.61
2014-07-31,19.53,$-0.25,0.0
2014-04-30,19.77,$-0.36,0.0
2014-01-31,23.33,$0.07,312.32
2013-10-31,23.27,$0.01,0.0
2013-07-31,22.06,$0.05,481.66
2013-04-30,14.96,$-0.20,0.0
2013-01-31,15.66,$-0.03,0.0
2012-10-31,12.42,$0.59,20.92
2012-07-31,16.03,$0.95,16.87
2012-04-30,14.82,$0.61,24.42
2012-01-31,14.55,$-0.58,0.0
2011-10-31,13.18,$-1.49,0.0
2011-07-31,15.46,$-2.25,0.0
2011-04-30,28.24,$-3.54,0.0
2011-01-31,22.03,$-3.84,0.0
2010-10-31,13.81,$-3.01,0.0
2010-07-31,13.09,$-2.26,0.0
2010-04-30,18.53,$-0.74,0.0
2010-01-31,12.75,$0.21,61.36
2017-07-31,25.75,$0.20,131.58
2009-10-31,11.73,$-0.18,0.0
