Dillard's Price to Free Cash Flow Ratio Historical Data,Dillard's Price to Free Cash Flow Ratio Historical Data,Dillard's Price to Free Cash Flow Ratio Historical Data,Dillard's Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,387.36,,11.91
2024-07-31,398.33,$32.53,12.25
2024-04-30,437.46,$44.01,9.94
2024-01-31,386.59,$45.83,8.44
2023-10-31,294.52,$42.39,6.95
2023-07-31,325.19,$56.17,5.79
2023-04-30,282.7,$44.51,6.35
2023-01-31,372.37,$48.63,7.66
2022-10-31,296.95,$52.34,5.67
2022-07-31,205.17,$48.58,4.22
2022-04-30,273.95,$62.95,4.35
2022-01-31,228.62,$58.52,3.91
2021-10-31,199.33,$47.34,4.21
2021-07-31,157.89,$45.70,3.45
2021-04-30,85.14,$28.59,2.98
2021-01-31,75.46,$8.55,8.83
2020-10-31,38.35,$7.46,5.14
2020-07-31,20.1,$-1.48,0.0
2020-04-30,25.02,$4.27,5.86
2020-01-31,51.35,$11.52,4.46
2019-10-31,58.21,$9.02,6.45
2019-07-31,61.27,$10.75,5.7
2019-04-30,57.53,$9.49,6.06
2019-01-31,56.06,$8.50,6.59
2018-10-31,59.01,$5.07,11.65
2018-07-31,67.17,$3.06,21.96
2018-04-30,62.32,$4.36,14.3
2018-01-31,56.41,$5.27,10.7
2017-10-31,42.35,$8.98,4.72
2017-07-31,61.43,$10.45,5.88
2017-04-30,46.02,$13.47,3.42
2017-01-31,46.84,$20.88,2.24
2016-10-31,50.82,$10.14,5.01
2016-04-30,58.27,$6.82,8.54
2016-01-31,58.19,$7.95,7.32
2015-10-31,73.87,$8.79,8.4
2015-07-31,84.04,$8.15,10.32
2015-04-30,108.49,$10.72,10.12
2015-01-31,93.62,$7.85,11.93
2016-07-31,56.05,$1.32,42.34
2014-10-31,87.11,$8.91,9.78
2014-07-31,98.15,$8.58,11.43
2014-04-30,80.58,$9.48,8.5
2014-01-31,71.79,$9.33,7.7
2013-10-31,67.37,$8.82,7.64
2013-07-31,69.33,$9.38,7.39
2013-04-30,67.63,$10.49,6.45
2013-01-31,69.23,$8.53,8.12
2012-10-31,59.53,$8.65,6.89
2012-07-31,50.4,$7.52,6.7
2012-04-30,49.84,$8.08,6.17
2012-01-31,34.13,$7.63,4.47
2011-10-31,39.7,$6.53,6.08
2011-07-31,43.3,$6.93,6.24
2011-04-30,36.93,$6.16,5.99
2011-01-31,30.51,$6.44,4.74
2010-10-31,19.58,$5.06,3.87
2010-07-31,17.73,$5.54,3.2
2010-04-30,21.47,$4.58,4.69
2010-01-31,12.64,$6.13,2.06
2009-10-31,10.38,$2.97,3.5
