KE Holdings Price to Free Cash Flow Ratio Historical Data,KE Holdings Price to Free Cash Flow Ratio Historical Data,KE Holdings Price to Free Cash Flow Ratio Historical Data,KE Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,19.47,,25.63
2024-06-30,14.15,$0.76,18.63
2024-03-31,13.73,$0.18,74.95
2023-12-31,16.21,$1.20,13.47
2023-09-30,15.52,$1.34,11.59
2023-06-30,14.85,$1.30,11.43
2023-03-31,18.84,$1.74,10.85
2022-12-31,13.96,$0.93,14.94
2022-09-30,17.52,$0.66,26.6
2022-06-30,17.95,$0.31,57.06
2022-03-31,12.37,$0.08,149.76
2021-12-31,20.12,$0.29,70.06
2021-09-30,18.26,$1.78,10.25
