Pinterest Price to Free Cash Flow Ratio Historical Data,Pinterest Price to Free Cash Flow Ratio Historical Data,Pinterest Price to Free Cash Flow Ratio Historical Data,Pinterest Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,32.94,,28.27
2024-06-30,44.07,$1.17,37.83
2024-03-31,34.67,$1.14,30.49
2023-12-31,37.04,$0.90,41.31
2023-09-30,27.03,$0.60,45.07
2023-06-30,27.34,$0.55,49.83
2023-03-31,27.27,$0.61,44.46
2022-12-31,24.28,$0.66,36.72
2022-09-30,23.3,$0.87,26.68
2022-06-30,18.16,$1.01,17.95
2022-03-31,24.61,$0.96,25.6
2021-12-31,36.35,$1.08,33.8
2021-09-30,50.95,$0.94,54.44
2021-06-30,78.95,$0.54,146.12
2021-03-31,74.03,$0.36,205.41
2020-12-31,65.9,$0.02,3432.29
2020-09-30,41.51,$-0.17,0.0
2020-06-30,22.17,$0.00,0.0
2020-03-31,15.44,$0.01,0.0
