Telefonica SA Price to Free Cash Flow Ratio Historical Data,Telefonica SA Price to Free Cash Flow Ratio Historical Data,Telefonica SA Price to Free Cash Flow Ratio Historical Data,Telefonica SA Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,4.83,,4.98
2024-06-30,4.21,$0.97,4.34
2024-03-31,4.25,$1.06,4.01
2023-12-31,3.76,$1.10,3.42
2023-09-30,3.77,$1.23,3.06
2023-06-30,3.73,$1.19,3.14
2023-03-31,3.8,$1.13,3.35
2022-12-31,3.17,$1.14,2.77
2022-09-30,2.75,$1.03,2.68
2022-06-30,4.36,$0.87,5.01
2022-03-31,3.87,$-0.02,0.0
2021-09-30,3.66,$1.39,2.64
2021-03-31,3.23,$1.26,2.56
2020-12-31,2.88,$1.29,2.24
2020-09-30,2.33,$2.46,0.95
2020-06-30,3.26,$1.30,2.52
2020-03-31,2.97,$1.35,2.2
2019-12-31,4.52,$1.61,2.81
2019-09-30,4.79,$1.58,3.02
2019-06-30,5.22,$1.46,3.58
2019-03-31,5.13,$1.36,3.77
2018-12-31,5.19,$1.11,4.65
2018-09-30,4.72,$0.77,6.11
2018-06-30,5.12,$1.06,4.85
2018-03-31,5.77,$0.83,6.97
2017-09-30,6.16,$0.70,8.76
2017-03-31,6.27,$1.58,3.97
2016-09-30,5.43,$0.93,5.83
2016-03-31,5.74,$1.00,5.76
2015-12-31,5.71,$1.00,5.72
2015-09-30,6.04,$0.85,7.09
2015-06-30,7.12,$0.92,7.75
2015-03-31,6.98,$0.85,8.2
2014-12-31,6.91,$0.85,8.12
2014-09-30,7.27,$1.49,4.89
2014-06-30,8.12,$1.63,4.97
2014-03-31,7.23,$1.49,4.86
2013-12-31,7.48,$2.31,3.23
2013-09-30,6.89,$1.48,4.64
2013-03-31,6.02,$1.81,3.33
2012-12-31,6.01,$1.92,3.13
2012-09-30,5.91,$2.32,2.55
2012-06-30,5.83,$2.36,2.47
2012-03-31,6.94,$2.82,2.46
2011-12-31,7.27,$2.86,2.54
2011-09-30,7.75,$1.63,4.75
2011-06-30,9.93,$2.02,4.92
2013-06-30,5.7,$1.78,3.2
2011-03-31,9.89,$2.07,4.78
2010-12-31,8.95,$2.37,3.78
2010-09-30,9.44,$1.93,4.89
2010-06-30,7.07,$3.20,2.21
2010-03-31,8.75,$2.82,3.11
2009-12-31,10.28,$2.62,3.92
