"Boise Cascade, L.L.C Price to Free Cash Flow Ratio Historical Data","Boise Cascade, L.L.C Price to Free Cash Flow Ratio Historical Data","Boise Cascade, L.L.C Price to Free Cash Flow Ratio Historical Data","Boise Cascade, L.L.C Price to Free Cash Flow Ratio Historical Data"
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,142.2,,16.35
2024-06-30,114.44,$8.70,13.16
2024-03-31,147.22,$11.27,13.06
2023-12-31,123.98,$11.90,10.42
2023-09-30,94.27,$15.03,6.27
2023-06-30,82.51,$19.02,4.34
2023-03-31,55.33,$19.24,2.88
2022-12-31,59.94,$23.41,2.56
2022-09-30,51.11,$21.14,2.42
2022-06-30,51.04,$17.62,2.9
2022-03-31,57.65,$17.30,3.33
2021-12-31,59.0,$14.16,4.17
2021-09-30,42.67,$11.22,3.8
2021-06-30,44.4,$9.75,4.55
2021-03-31,45.45,$2.77,16.44
2020-12-31,36.24,$1.83,19.81
2020-09-30,29.09,$5.35,5.43
2020-06-30,27.35,$3.56,7.68
2019-12-31,26.42,$4.20,6.29
2019-09-30,22.9,$7.34,3.12
2019-06-30,19.7,$3.06,6.44
2019-03-31,18.68,$1.19,15.67
2018-12-31,16.59,$4.89,3.39
2020-03-31,17.24,$0.30,56.99
2018-09-30,25.52,$2.04,12.53
2018-06-30,30.25,$3.44,8.8
2018-03-31,26.09,$2.60,10.05
2017-12-31,26.92,$2.01,13.42
2017-09-30,23.5,$2.10,11.2
2017-06-30,20.47,$1.58,12.94
2017-03-31,17.98,$0.66,27.29
2016-12-31,15.15,$1.77,8.55
2016-09-30,17.1,$0.77,22.14
2016-06-30,15.45,$0.47,32.69
2016-03-31,13.95,$0.25,55.24
2015-12-31,17.19,$-0.10,0.0
2015-09-30,16.98,$0.45,37.76
2015-06-30,24.7,$0.56,44.38
2015-03-31,25.23,$1.24,20.32
2014-12-31,25.02,$1.15,21.74
2014-09-30,20.3,$1.32,15.36
2014-06-30,19.29,$1.43,13.52
2014-03-31,19.29,$0.59,32.52
2013-12-31,19.85,$-0.25,0.0
