Cognex Price to Free Cash Flow Ratio Historical Data,Cognex Price to Free Cash Flow Ratio Historical Data,Cognex Price to Free Cash Flow Ratio Historical Data,Cognex Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,39.99,,91.64
2024-06-30,46.67,$0.44,106.95
2024-03-31,42.27,$0.45,94.61
2023-12-31,41.51,$0.52,80.13
2023-09-30,42.12,$0.83,50.88
2023-06-30,55.52,$1.08,51.38
2023-03-31,49.04,$1.15,42.57
2022-12-31,46.56,$1.28,36.39
2022-09-30,40.9,$1.21,33.8
2022-06-30,41.9,$1.08,38.62
2022-03-31,75.93,$1.38,55.04
2021-12-31,76.45,$1.66,46.06
2021-09-30,78.81,$1.83,43.09
2021-06-30,82.51,$1.94,42.5
2021-03-31,81.41,$1.50,54.42
2020-12-31,78.69,$1.30,60.66
2020-09-30,62.13,$1.18,52.67
2020-06-30,56.95,$1.09,52.29
2020-03-31,40.22,$1.34,30.08
2019-12-31,53.33,$1.32,40.36
2019-09-30,46.7,$1.34,34.98
2019-06-30,45.55,$1.40,32.62
2019-03-31,48.24,$1.14,42.34
2018-12-31,36.64,$1.05,34.88
2018-09-30,52.83,$1.12,47.1
2018-06-30,42.18,$0.94,44.92
2018-03-31,49.11,$1.09,45.19
2017-12-31,57.73,$1.09,53.0
2017-09-30,52.03,$1.09,47.71
2017-06-30,40.02,$1.16,34.61
2017-03-31,39.54,$1.06,37.33
2016-12-31,29.93,$0.97,30.8
2016-09-30,24.84,$0.77,32.18
2016-06-30,20.22,$0.83,24.33
2016-03-31,18.24,$0.78,23.49
2015-12-31,15.79,$0.63,25.24
2015-09-30,16.05,$0.90,17.75
2015-06-30,22.4,$0.70,31.93
2015-03-31,23.06,$0.71,32.27
2014-12-31,19.22,$0.80,23.96
2014-09-30,18.73,$0.49,38.54
2014-06-30,17.86,$0.43,41.2
2014-03-31,15.75,$0.47,33.66
2013-12-31,17.76,$0.48,36.94
2013-09-30,14.55,$0.43,33.47
2013-06-30,10.52,$0.52,20.29
2013-03-31,9.8,$0.56,17.54
2012-12-31,8.56,$0.52,16.36
2012-09-30,7.78,$0.51,15.16
2012-06-30,7.1,$0.40,17.79
2012-03-31,9.47,$0.40,23.41
2011-12-31,7.99,$0.46,17.41
2011-09-30,6.03,$0.50,12.17
2011-06-30,7.86,$0.58,13.62
2011-03-31,6.25,$0.50,12.59
2010-12-31,6.49,$0.44,14.84
2010-09-30,5.9,$0.34,17.31
2010-06-30,3.86,$0.20,19.12
2010-03-31,4.04,$0.11,38.47
2009-12-31,3.86,$0.04,89.83
