H B Fuller Price to Free Cash Flow Ratio Historical Data,H B Fuller Price to Free Cash Flow Ratio Historical Data,H B Fuller Price to Free Cash Flow Ratio Historical Data,H B Fuller Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,79.78,,17.39
2024-08-31,85.42,$4.59,18.61
2024-05-31,79.2,$4.91,16.13
2024-02-29,78.87,$5.55,14.22
2023-11-30,74.85,$4.72,15.85
2023-08-31,71.52,$5.18,13.8
2023-05-31,61.89,$4.22,14.65
2023-02-28,68.39,$-0.63,0.0
2022-11-30,78.53,$0.73,107.24
2022-08-31,63.24,$-1.44,0.0
2022-05-31,69.08,$-1.41,0.0
2021-11-30,70.74,$2.21,31.99
2021-08-31,65.17,$7.36,8.86
2021-05-31,66.49,$5.13,12.96
2021-02-28,53.8,$5.82,9.24
2020-11-30,50.06,$6.80,7.36
2022-02-28,66.27,$1.02,64.89
2020-08-31,45.93,$4.12,11.15
2020-05-31,35.74,$4.32,8.28
2020-02-29,37.07,$4.45,8.33
2019-11-30,46.98,$4.20,11.18
2019-08-31,40.0,$4.72,8.47
2019-05-31,36.89,$4.64,7.95
2019-02-28,47.08,$4.31,10.92
2018-11-30,44.85,$3.62,12.4
2018-08-31,52.81,$2.67,19.77
2018-05-31,47.63,$1.89,25.23
2018-02-28,46.42,$1.29,36.08
2017-11-30,51.96,$2.17,23.93
2017-08-31,45.98,$1.41,32.68
2017-05-31,46.36,$1.86,24.9
2017-02-28,45.0,$2.21,20.38
2016-11-30,42.67,$2.67,16.0
2016-08-31,42.98,$2.96,14.51
2016-05-31,41.2,$2.47,16.69
2016-02-29,34.63,$2.69,12.87
2015-11-30,35.69,$3.06,11.66
2015-08-31,32.37,$2.52,12.83
2015-05-31,37.5,$1.73,21.73
2015-02-28,39.68,$0.05,824.96
2014-11-30,38.23,$-2.03,0.0
2014-08-31,41.51,$-2.46,0.0
2014-05-31,42.1,$-1.89,0.0
2014-02-28,42.56,$-0.50,0.0
2013-11-30,44.88,$0.21,217.75
2013-08-31,32.59,$0.68,47.72
2013-05-31,36.25,$0.89,40.8
2013-02-28,35.55,$0.96,36.93
2012-11-30,28.51,$1.47,19.37
2012-08-31,26.32,$1.50,17.6
2012-05-31,26.23,$1.43,18.31
2012-02-29,25.93,$1.15,22.47
2011-11-30,19.8,$1.16,17.08
2011-08-31,18.96,$1.37,13.87
2011-05-31,19.0,$0.96,19.8
2011-02-28,18.31,$0.94,19.55
2010-11-30,17.76,$0.86,20.58
2010-08-31,16.03,$-0.95,0.0
2010-05-31,17.94,$0.11,163.67
2010-02-28,17.6,$0.90,19.49
2009-11-30,17.02,$1.01,16.79
