Globant S.A Price to Free Cash Flow Ratio Historical Data,Globant S.A Price to Free Cash Flow Ratio Historical Data,Globant S.A Price to Free Cash Flow Ratio Historical Data,Globant S.A Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,216.49,,34.48
2024-06-30,178.26,$6.28,28.39
2024-03-31,201.9,$6.28,32.16
2023-12-31,237.98,$6.28,37.9
2023-09-30,197.85,$3.51,56.35
2023-06-30,179.72,$3.51,51.19
2023-03-31,164.01,$3.51,46.71
2022-12-31,168.16,$3.51,47.9
2022-09-30,187.08,$3.27,57.27
2022-06-30,174.0,$3.27,53.26
2022-03-31,262.07,$3.73,70.33
2021-12-31,314.09,$3.27,96.14
2021-09-30,281.01,$1.80,156.03
2021-06-30,219.18,$1.80,121.7
2021-03-31,207.61,$1.70,122.22
2020-12-31,217.61,$1.80,120.83
2020-09-30,179.22,$-0.64,0.0
2020-06-30,149.85,0,0.0
2020-03-31,87.88,$0.96,91.92
2019-09-30,91.58,$1.10,83.45
2019-03-31,71.4,$2.21,32.33
2018-12-31,56.32,$1.31,42.89
2018-09-30,58.99,$0.66,89.27
2018-06-30,56.79,$1.29,43.95
2018-03-31,51.54,$0.74,70.0
2017-12-31,46.46,$0.66,70.31
2017-09-30,40.07,$0.39,102.3
2017-06-30,43.44,$0.04,1241.14
2017-03-31,36.4,$0.06,589.95
2016-12-31,33.35,$0.39,85.14
2016-09-30,42.12,$-0.53,0.0
2016-06-30,39.35,$-0.59,0.0
2016-03-31,30.86,$-0.53,0.0
2015-12-31,37.51,$-0.53,0.0
2015-09-30,30.59,$0.08,362.01
2015-06-30,30.43,$0.08,360.12
