Sumitomo Mitsui Financial Group Inc Price to Free Cash Flow Ratio Historical Data,Sumitomo Mitsui Financial Group Inc Price to Free Cash Flow Ratio Historical Data,Sumitomo Mitsui Financial Group Inc Price to Free Cash Flow Ratio Historical Data,Sumitomo Mitsui Financial Group Inc Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,13.05,,inf
2024-06-30,13.41,0,0.0
2023-06-30,8.33,0,0.0
2022-06-30,5.43,0,0.0
2021-06-30,6.1,0,0.0
2020-06-30,4.71,0,0.0
2019-06-30,5.58,0,0.0
2018-06-30,5.89,$9.87,0.6
2017-06-30,5.74,$7.75,0.74
2015-06-30,6.01,$9.87,0.61
2015-03-31,5.24,$9.87,0.53
2014-12-31,4.92,$9.76,0.5
2014-09-30,5.55,$11.89,0.47
2014-06-30,5.73,$9.76,0.59
2014-03-31,5.85,$9.76,0.6
2013-12-31,7.1,0,0.0
2013-09-30,6.58,$3.20,2.06
2013-06-30,6.11,$3.20,1.91
2016-06-30,4.02,$3.20,1.26
2013-03-31,5.41,$3.20,1.69
2012-12-31,4.78,$2.29,2.09
2012-09-30,4.03,$2.29,1.76
2012-06-30,4.25,$2.29,1.86
2012-03-31,4.25,$2.29,1.86
2011-12-31,3.46,$24.12,0.14
2011-09-30,3.43,$24.12,0.14
2011-06-30,3.7,$24.12,0.15
2011-03-31,3.76,$20.00,0.19
2010-09-30,3.37,$-4.12,0.0
2010-06-30,3.29,$-4.12,0.0
2010-03-31,3.82,$-4.12,0.0
2009-12-31,3.35,0,0.0
2009-09-30,3.98,0,0.0
