ICL Group Price to Free Cash Flow Ratio Historical Data,ICL Group Price to Free Cash Flow Ratio Historical Data,ICL Group Price to Free Cash Flow Ratio Historical Data,ICL Group Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,4.06,,8.21
2024-06-30,4.23,$0.49,8.56
2024-03-31,5.32,$0.57,9.39
2023-12-31,4.91,$0.63,7.77
2023-09-30,5.23,$0.71,7.42
2023-06-30,4.97,$0.91,5.45
2023-03-31,5.74,$1.01,5.69
2022-12-31,5.75,$0.99,5.81
2022-09-30,5.84,$0.92,6.37
2022-06-30,5.91,$0.70,8.42
2022-03-31,7.32,$0.46,16.02
2021-12-31,5.64,$0.35,15.99
2021-09-30,4.11,$0.29,14.3
2021-06-30,3.79,$0.22,17.07
2021-03-31,3.19,$0.16,19.45
2020-12-31,2.76,$0.14,19.84
2020-09-30,1.88,$0.13,13.93
2020-06-30,1.6,$0.26,6.13
2020-03-31,1.57,$0.32,4.85
2019-12-31,2.41,$0.36,6.64
2019-09-30,2.43,$0.34,7.06
2019-06-30,2.42,$0.21,11.44
2019-03-31,2.41,$0.17,14.16
2018-12-31,2.53,$0.04,64.63
2018-09-30,2.61,$0.11,23.39
2018-06-30,1.93,$0.13,14.61
2018-03-31,1.73,$0.16,10.51
2017-12-31,1.63,$0.31,5.17
2017-09-30,1.77,$0.30,5.88
2017-06-30,1.88,$0.32,5.97
2017-03-31,1.6,$0.31,5.1
2016-12-31,1.53,$0.26,5.83
2016-09-30,1.43,$0.20,7.28
2016-06-30,1.42,$0.09,15.76
2016-03-31,1.48,$0.16,9.38
2015-12-31,1.4,$0.06,21.77
2015-09-30,1.77,$0.04,49.21
2015-06-30,2.39,$0.07,35.32
