Maximus Price to Free Cash Flow Ratio Historical Data,Maximus Price to Free Cash Flow Ratio Historical Data,Maximus Price to Free Cash Flow Ratio Historical Data,Maximus Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,89.94,,14.45
2024-06-30,85.41,$6.22,13.72
2024-03-31,83.33,$3.03,27.46
2023-12-31,82.99,$6.09,13.64
2023-09-30,73.62,$3.64,20.23
2023-06-30,83.03,$3.64,22.82
2023-03-31,77.05,$4.91,15.69
2022-12-31,71.55,$1.73,41.42
2022-09-30,56.21,$4.04,13.93
2022-06-30,60.46,$-1.69,0.0
2022-03-31,72.18,$-3.14,0.0
2021-12-31,76.44,$-3.82,0.0
2021-09-30,79.57,$-1.54,0.0
2021-06-30,83.84,$2.03,41.32
2021-03-31,84.59,$2.93,28.91
2020-09-30,64.53,$3.22,20.04
2020-06-30,66.21,$4.13,16.04
2020-03-31,54.46,$5.88,9.27
2019-12-31,69.35,$7.45,9.31
2019-09-30,71.76,$7.18,9.99
2020-12-31,69.3,$4.90,14.14
2019-06-30,67.38,$5.34,12.61
2019-03-31,65.7,$4.52,14.53
2018-12-31,60.04,$4.69,12.81
2018-09-30,59.78,$4.40,13.58
2018-06-30,57.03,$3.73,15.29
2018-03-31,61.24,$4.41,13.88
2017-12-31,65.64,$4.24,15.47
2017-09-30,59.1,$4.73,12.5
2017-06-30,57.35,$4.43,12.96
2017-03-31,56.91,$3.87,14.72
2016-12-31,51.01,$3.12,16.36
2016-09-30,51.67,$2.02,25.6
2016-06-30,50.54,$2.40,21.03
2016-03-31,48.01,$0.88,54.7
2015-12-31,51.25,$1.36,37.64
2015-09-30,54.23,$1.79,30.37
2015-03-31,60.7,$1.66,36.54
2014-12-31,49.82,$2.53,19.72
2014-09-30,36.43,$2.41,15.12
2014-06-30,39.01,$2.32,16.81
2014-03-31,40.63,$1.71,23.81
2013-12-31,39.8,$1.61,24.75
2013-09-30,40.72,$1.11,36.79
2013-06-30,33.63,$1.25,26.84
2013-03-31,36.06,$0.86,42.07
2012-12-31,28.47,$1.07,26.73
2012-09-30,26.86,$1.39,19.31
2012-06-30,23.23,$1.34,17.39
2012-03-31,18.22,$0.40,46.12
2011-12-31,18.49,$1.06,17.49
2011-09-30,15.57,$0.72,21.69
2011-06-30,18.41,$0.82,22.56
2015-06-30,59.81,$1.84,32.46
2011-03-31,18.03,$1.25,14.38
2010-12-31,14.54,$1.95,7.44
2010-09-30,13.6,$1.55,8.77
2010-06-30,12.75,$1.40,9.11
2010-03-31,13.4,$0.18,75.29
2009-09-30,10.2,$0.16,62.74
