Banco Santander Chile Price to Free Cash Flow Ratio Historical Data,Banco Santander Chile Price to Free Cash Flow Ratio Historical Data,Banco Santander Chile Price to Free Cash Flow Ratio Historical Data,Banco Santander Chile Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,20.25,,0.0
2024-06-30,18.83,$-0.11,0.0
2024-03-31,19.03,$0.83,22.93
2023-12-31,18.7,$3.16,5.92
2023-09-30,17.6,$-0.66,0.0
2023-06-30,18.09,$-1.36,0.0
2023-03-31,15.95,$-2.04,0.0
2022-12-31,14.17,$-0.93,0.0
2022-09-30,12.53,$6.13,2.04
2022-06-30,14.57,$9.99,1.46
2022-03-31,19.15,$10.27,1.86
2021-09-30,16.76,$6.27,2.68
2021-03-31,20.25,$0.35,58.6
2020-12-31,15.49,$-2.36,0.0
2020-09-30,11.02,$2.03,5.44
2020-06-30,13.03,$3.93,3.32
2020-03-31,11.68,$6.17,1.89
2019-12-31,17.8,$5.37,3.32
2019-09-30,21.61,$1.76,12.31
2019-06-30,23.09,$2.70,8.56
2019-03-31,22.13,$1.06,20.9
2018-12-31,22.24,$3.26,6.82
2018-09-30,23.79,$3.53,6.74
2018-06-30,23.38,$1.68,13.9
2018-03-31,23.89,$0.40,59.49
2017-12-31,22.29,$-1.46,0.0
2017-09-30,21.18,$0.17,121.74
2017-06-30,18.12,$-2.01,0.0
2017-03-31,17.13,$2.42,7.06
2016-12-31,14.93,$1.86,8.03
2016-09-30,14.13,$1.08,13.11
2016-06-30,13.23,$2.48,5.34
2016-03-31,12.53,$-0.63,0.0
2015-12-31,11.42,$1.86,6.14
2015-09-30,11.79,$1.05,11.25
2015-06-30,13.11,$3.19,4.11
2015-03-31,13.32,$2.42,5.5
2014-12-31,12.11,$0.89,13.65
2014-09-30,13.57,$-0.55,0.0
2014-06-30,16.25,$-0.09,0.0
2014-03-31,13.81,$1.50,9.21
2013-12-31,13.89,$2.12,6.56
2013-09-30,15.49,$1.38,11.25
2013-06-30,14.41,$-2.93,0.0
2013-03-31,16.13,$-5.59,0.0
2012-12-31,16.14,$-5.28,0.0
2012-09-30,15.97,$2.94,5.44
2012-06-30,16.9,$7.29,2.32
2012-03-31,18.12,$6.86,2.64
2011-12-31,15.93,$6.86,2.32
2011-09-30,15.46,$-0.24,0.0
2011-06-30,19.74,$-1.88,0.0
2011-03-31,17.59,$-0.24,0.0
2010-12-31,18.96,$-0.24,0.0
2010-09-30,19.58,$5.06,3.87
2010-06-30,13.61,$5.06,2.69
2010-03-31,13.3,$5.06,2.63
2009-12-31,12.63,$5.06,2.49
