MKS Instruments Price to Free Cash Flow Ratio Historical Data,MKS Instruments Price to Free Cash Flow Ratio Historical Data,MKS Instruments Price to Free Cash Flow Ratio Historical Data,MKS Instruments Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,102.54,,15.87
2024-06-30,130.34,$6.46,20.18
2024-03-31,132.53,$3.90,33.98
2023-12-31,102.32,$3.47,29.46
2023-09-30,85.84,$3.50,24.54
2023-06-30,106.97,$4.11,26.02
2023-03-31,87.5,$5.87,14.9
2022-12-31,83.46,$6.09,13.7
2022-09-30,81.18,$6.93,11.71
2022-06-30,100.63,$6.59,15.28
2022-03-31,146.81,$8.65,16.97
2021-12-31,170.22,$9.93,17.15
2021-09-30,147.28,$9.07,16.23
2021-06-30,173.42,$8.90,19.48
2021-03-31,180.48,$8.36,21.58
2020-12-31,146.27,$7.74,18.9
2020-09-30,106.04,$6.58,16.11
2020-06-30,109.75,$5.16,21.25
2020-03-31,78.78,$4.19,18.82
2019-12-31,106.21,$3.28,32.41
2019-09-30,88.92,$4.21,21.13
2019-06-30,74.86,$4.90,15.28
2019-03-31,89.19,$5.50,16.21
2018-12-31,61.78,$6.38,9.68
2018-09-30,76.43,$5.62,13.6
2018-06-30,91.06,$5.77,15.77
2018-03-31,109.85,$4.05,27.13
2017-12-31,89.62,$3.76,23.86
2017-09-30,89.42,$3.83,23.35
2017-06-30,63.58,$2.62,24.26
2016-12-31,55.85,$2.98,18.75
2016-09-30,46.62,$3.35,13.92
2016-06-30,40.22,$3.18,12.66
2016-03-31,35.02,$3.38,10.37
2015-12-31,33.31,$3.65,9.13
2017-03-31,64.8,$2.75,23.59
2015-09-30,30.88,$2.15,14.33
2015-06-30,34.77,$2.52,13.81
2015-03-31,30.84,$1.98,15.6
2014-12-31,33.23,$2.24,14.84
2014-09-30,30.18,$2.33,12.97
2014-03-31,26.74,$1.33,20.05
2013-12-31,26.62,$1.19,22.36
2013-09-30,23.53,$0.92,25.45
2013-06-30,23.34,$0.84,27.78
2013-03-31,23.78,$1.80,13.23
2012-12-31,22.41,$2.24,9.99
2012-09-30,22.01,$2.80,7.87
2012-06-30,24.78,$3.06,8.1
2012-03-31,25.21,$2.62,9.62
2011-12-31,23.63,$2.66,8.89
2011-09-30,18.33,$3.42,5.36
2011-06-30,22.17,$3.51,6.32
2011-03-31,27.78,$2.73,10.19
2010-12-31,20.33,$2.63,7.72
2010-09-30,14.92,$1.27,11.74
2014-06-30,28.1,$0.55,51.29
2010-06-30,15.54,$0.82,18.9
2010-03-31,16.26,$0.51,32.19
2009-12-31,14.44,$0.01,982.31
