Independence Realty Trust Price to Free Cash Flow Ratio Historical Data,Independence Realty Trust Price to Free Cash Flow Ratio Historical Data,Independence Realty Trust Price to Free Cash Flow Ratio Historical Data,Independence Realty Trust Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,19.74,,7.65
2024-06-30,18.59,$2.58,7.21
2024-03-31,15.87,$2.39,6.64
2023-12-31,14.9,$1.25,11.94
2023-09-30,13.57,$0.82,16.49
2023-06-30,17.37,$0.12,144.28
2023-03-31,15.15,$0.08,179.51
2022-12-31,15.79,$0.70,22.65
2022-09-30,15.54,$1.19,13.04
2022-06-30,19.1,$2.40,7.97
2022-03-31,24.19,$1.09,22.1
2021-12-31,23.53,$0.43,54.69
2021-09-30,18.44,$-0.88,0.0
2021-06-30,16.32,$-1.27,0.0
2021-03-31,13.61,$0.13,105.64
2020-12-31,11.93,$-0.52,0.0
2020-09-30,10.1,$-0.36,0.0
2020-06-30,9.91,$-0.79,0.0
2020-03-31,7.54,$-0.94,0.0
2019-12-31,11.88,$-0.35,0.0
2019-09-30,11.92,$-0.60,0.0
2019-06-30,9.52,$-0.96,0.0
2019-03-31,8.74,$0.09,94.25
2018-12-31,7.31,$-0.46,0.0
2018-09-30,8.08,$-1.02,0.0
2018-06-30,7.77,$-0.52,0.0
2017-12-31,7.46,$-1.87,0.0
2017-09-30,7.39,$-0.07,0.0
2017-06-30,7.04,$-0.01,0.0
2017-03-31,6.56,$0.37,17.68
2016-12-31,6.13,$1.45,4.23
2018-03-31,6.79,$0.46,14.86
2016-09-30,6.06,$2.19,2.76
2016-06-30,5.4,$1.63,3.3
2016-03-31,4.59,$0.15,30.54
2015-12-31,4.71,$0.07,66.44
2015-09-30,4.42,$-7.05,0.0
2015-06-30,4.51,$-8.56,0.0
2015-03-31,5.56,$-9.48,0.0
2014-12-31,5.35,$-13.39,0.0
2014-09-30,5.46,$-11.77,0.0
2014-06-30,5.24,$-11.32,0.0
