Alcon Price to Free Cash Flow Ratio Historical Data,Alcon Price to Free Cash Flow Ratio Historical Data,Alcon Price to Free Cash Flow Ratio Historical Data,Alcon Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,94.52,,38.88
2024-06-30,89.08,$2.43,36.64
2024-03-31,83.29,$1.97,42.29
2023-12-31,78.12,$1.47,53.13
2023-09-30,77.06,$1.41,54.74
2023-06-30,82.11,$1.09,75.67
2023-03-31,70.54,$1.24,56.79
2022-12-31,68.55,$1.18,58.33
2022-09-30,58.18,$1.10,53.04
2022-06-30,69.89,$1.13,61.86
2022-03-31,79.33,$1.10,71.82
2021-12-31,87.12,$1.31,66.64
2021-09-30,80.47,$1.65,48.74
2021-06-30,70.26,$1.59,44.21
2021-03-31,70.18,$0.94,74.99
2020-12-31,65.98,$0.72,92.19
2020-09-30,56.95,$0.45,125.39
2020-06-30,57.32,$0.33,172.55
2020-03-31,50.82,$0.63,80.81
