CorVel Price to Free Cash Flow Ratio Historical Data,CorVel Price to Free Cash Flow Ratio Historical Data,CorVel Price to Free Cash Flow Ratio Historical Data,CorVel Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,317.9,,77.32
2024-06-30,254.27,$4.11,61.85
2024-03-31,262.96,$4.04,65.17
2023-12-31,247.21,$4.04,61.15
2023-09-30,196.65,$4.13,47.63
2023-06-30,193.5,$3.78,51.16
2023-03-31,190.28,$3.18,59.81
2022-12-31,145.33,$3.19,45.6
2022-09-30,138.43,$2.26,61.16
2022-06-30,147.27,$2.84,51.85
2022-03-31,168.44,$2.06,81.63
2021-12-31,208.0,$2.67,77.77
2021-09-30,186.22,$3.75,49.69
2021-06-30,134.3,$4.03,33.3
2021-03-31,102.59,$4.25,24.16
2020-12-31,106.0,$3.85,27.53
2020-09-30,85.43,$2.86,29.89
2020-06-30,70.89,$2.28,31.07
2020-03-31,54.51,$2.61,20.92
2019-12-31,87.36,$2.38,36.7
2019-09-30,75.7,$2.67,28.39
2019-06-30,87.01,$3.27,26.6
2019-03-31,65.24,$3.33,19.57
2018-12-31,61.72,$3.09,19.98
2018-09-30,60.25,$3.01,20.04
2018-06-30,54.0,$2.00,26.97
2018-03-31,50.55,$1.81,27.93
2017-12-31,52.9,$1.84,28.77
2017-09-30,54.4,$1.59,34.16
2017-06-30,47.45,$1.78,26.73
2017-03-31,43.5,$1.07,40.52
2016-12-31,36.6,$1.46,25.04
2016-09-30,38.4,$1.39,27.55
2016-06-30,43.18,$1.36,31.77
2016-03-31,39.42,$1.73,22.82
2015-12-31,43.92,$1.40,31.35
2015-09-30,32.3,$1.58,20.46
2015-06-30,32.02,$1.30,24.64
2015-03-31,34.41,$1.03,33.52
2014-12-31,37.22,$1.04,35.89
2014-09-30,34.05,$1.07,31.94
2014-06-30,45.18,$1.42,31.79
2014-03-31,49.76,$1.71,29.17
2013-12-31,46.7,$1.79,26.03
2013-09-30,36.97,$1.92,19.24
2013-06-30,29.27,$1.86,15.72
2013-03-31,24.75,$1.78,13.92
2012-12-31,22.42,$1.58,14.18
2012-09-30,22.38,$1.13,19.88
2012-06-30,24.5,$0.63,39.04
2012-03-31,19.95,$0.54,37.23
2011-12-31,25.86,$0.57,45.58
2011-09-30,21.25,$0.67,31.65
2011-06-30,23.45,$1.21,19.33
2011-03-31,26.59,$1.10,24.09
2010-12-31,24.18,$1.36,17.73
2010-09-30,21.23,$1.15,18.39
2010-06-30,16.9,$1.05,16.03
2010-03-31,17.88,$1.04,17.16
2009-12-31,16.77,$1.41,11.86
