Celsius Holdings Price to Free Cash Flow Ratio Historical Data,Celsius Holdings Price to Free Cash Flow Ratio Historical Data,Celsius Holdings Price to Free Cash Flow Ratio Historical Data,Celsius Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,32.18,,31.06
2024-06-30,57.09,$1.04,55.11
2024-03-31,82.92,$1.14,72.85
2023-12-31,54.52,$0.52,104.36
2023-09-30,57.2,$0.22,255.81
2023-06-30,49.73,$0.43,114.85
2023-03-31,30.98,$0.34,92.07
2022-12-31,34.68,$0.44,78.76
2022-09-30,30.23,$0.55,54.76
2022-06-30,21.75,$-0.12,0.0
2022-03-31,18.39,$-0.33,0.0
2021-12-31,24.86,$-0.43,0.0
2021-09-30,30.03,$-0.25,0.0
2021-06-30,25.36,$-0.10,0.0
2021-03-31,16.02,$-0.03,0.0
2020-12-31,16.77,$0.01,1330.95
2020-09-30,7.57,$0.03,294.55
2020-06-30,3.92,$0.01,0.0
2020-03-31,1.4,$0.02,60.75
2019-12-31,1.61,$0.00,0.0
2019-09-30,1.16,$-0.02,0.0
2019-06-30,1.48,$-0.07,0.0
2019-03-31,1.42,$-0.08,0.0
2018-12-31,1.16,$-0.08,0.0
2018-09-30,1.34,$-0.10,0.0
2018-06-30,1.53,$-0.09,0.0
2018-03-31,1.45,$-0.09,0.0
