Lincoln National Price to Free Cash Flow Ratio Historical Data,Lincoln National Price to Free Cash Flow Ratio Historical Data,Lincoln National Price to Free Cash Flow Ratio Historical Data,Lincoln National Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,33.62,,0.0
2024-06-30,30.23,$-23.41,0.0
2024-03-31,30.57,$-15.42,0.0
2023-12-31,25.41,$-12.15,0.0
2023-09-30,22.82,$2.07,11.02
2023-06-30,23.4,$5.73,4.09
2023-03-31,19.98,$13.66,1.46
2022-12-31,26.92,$20.90,1.29
2022-09-30,38.11,$15.91,2.4
2022-06-30,40.21,$13.75,2.92
2022-03-31,55.81,$4.88,11.44
2021-12-31,57.93,$-1.14,0.0
2021-09-30,58.01,$1.57,36.91
2021-06-30,52.66,$-3.47,0.0
2021-03-31,51.84,$-2.91,0.0
2020-12-31,41.54,$2.75,15.13
2020-09-30,25.58,$2.63,9.73
2020-06-30,29.68,$4.35,6.83
2020-03-31,20.99,$-4.49,0.0
2019-12-31,46.74,$-13.29,0.0
2019-09-30,47.45,$-10.06,0.0
2019-06-30,50.42,$-6.63,0.0
2019-03-31,45.65,$1.76,25.97
2018-12-31,39.63,$8.85,4.48
2018-09-30,52.02,$5.50,9.46
2018-06-30,47.62,$5.45,8.74
2018-03-31,55.62,$3.64,15.28
2017-12-31,58.28,$3.48,16.73
2017-09-30,55.5,$5.18,10.71
2017-06-30,50.83,$4.03,12.63
2017-03-31,49.01,$4.63,10.59
2016-12-31,49.41,$5.37,9.2
2016-09-30,34.85,$5.84,5.97
2016-06-30,28.57,$8.75,3.26
2016-03-31,28.69,$8.88,3.23
2015-12-31,36.59,$8.80,4.16
2015-09-30,34.41,$11.19,3.07
2015-06-30,42.79,$10.33,4.14
2015-03-31,41.37,$9.60,4.31
2014-12-31,41.37,$9.43,4.39
2014-09-30,38.32,$5.17,7.42
2014-06-30,36.67,$4.08,8.98
2014-03-31,36.01,$4.77,7.55
2013-12-31,36.57,$2.90,12.59
2013-09-30,29.66,$3.91,7.58
2013-06-30,25.68,$2.49,10.3
2013-03-31,22.87,$2.56,8.94
2012-12-31,18.09,$4.41,4.1
2012-09-30,16.84,$3.40,4.96
2012-06-30,15.17,$3.42,4.43
2012-03-31,18.22,$3.95,4.61
2011-12-31,13.37,$4.05,3.3
2011-09-30,10.73,$4.87,2.2
2011-06-30,19.52,$5.36,3.64
2011-03-31,20.55,$4.63,4.44
2010-12-31,18.99,$5.39,3.52
2010-09-30,16.33,$5.01,3.26
2010-06-30,16.57,$4.35,3.81
2010-03-31,20.94,$6.43,3.26
2009-12-31,16.97,$3.28,5.17
