Apollo Global Management Price to Free Cash Flow Ratio Historical Data,Apollo Global Management Price to Free Cash Flow Ratio Historical Data,Apollo Global Management Price to Free Cash Flow Ratio Historical Data,Apollo Global Management Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,145.19,,28.29
2024-06-30,118.07,$5.13,23.01
2024-03-31,112.45,$9.02,12.47
2023-12-31,93.19,$10.74,8.68
2023-09-30,89.76,$9.86,9.1
2023-06-30,76.81,$14.50,5.3
2023-03-31,63.16,$15.12,4.18
2022-12-31,63.79,$6.48,9.84
2022-09-30,46.5,$-0.45,0.0
2022-06-30,48.15,$-0.27,0.0
2022-03-31,61.13,$-1.32,0.0
2021-12-31,70.99,$4.50,15.79
2021-09-30,59.97,$-4.62,0.0
2021-06-30,60.03,$-6.33,0.0
2021-03-31,44.98,$-11.85,0.0
2020-12-31,46.32,$-7.10,0.0
2020-09-30,41.84,$7.50,5.58
2020-06-30,46.21,$6.74,6.86
2020-03-31,30.69,$7.31,4.2
2019-12-31,42.89,$5.00,8.58
2019-09-30,33.61,$4.13,8.13
2019-06-30,30.0,$4.27,7.03
2019-03-31,24.36,$5.23,4.66
2018-12-31,20.76,$4.00,5.19
2018-09-30,28.74,$4.77,6.02
2018-06-30,26.17,$4.18,6.26
2018-03-31,24.02,$3.43,7.01
2017-12-31,26.62,$4.42,6.02
2017-09-30,23.63,$3.59,6.58
2017-06-30,20.4,$3.78,5.39
2017-03-31,18.42,$3.75,4.91
2016-12-31,14.37,$3.23,4.46
2016-09-30,13.09,$3.23,4.06
2016-06-30,10.83,$3.15,3.43
2016-03-31,12.05,$6.43,1.87
2015-12-31,10.49,$5.17,2.03
2015-09-30,11.63,$-2.93,0.0
2015-06-30,14.69,$-0.98,0.0
2014-12-31,14.86,$-2.44,0.0
2014-09-30,14.55,$5.50,2.65
2014-06-30,16.6,$14.05,1.18
2014-03-31,18.41,$3.99,4.61
2013-12-31,17.68,$8.28,2.13
2015-03-31,14.11,$7.44,1.9
2013-09-30,15.26,$5.88,2.6
2013-06-30,12.39,$16.54,0.75
2013-03-31,10.88,$11.25,0.97
2012-12-31,8.34,$2.47,3.37
2012-09-30,6.86,$4.47,1.53
2012-06-30,5.7,$1.14,5.0
2012-03-31,6.42,$-5.24,0.0
2011-12-31,5.4,$6.21,0.87
