Crown Holdings Price to Free Cash Flow Ratio Historical Data,Crown Holdings Price to Free Cash Flow Ratio Historical Data,Crown Holdings Price to Free Cash Flow Ratio Historical Data,Crown Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,93.84,,10.98
2024-06-30,74.18,$8.55,8.68
2024-03-31,78.79,$7.93,9.93
2023-12-31,91.25,$5.66,16.13
2023-09-30,87.41,$5.50,15.89
2023-06-30,85.59,$-0.69,0.0
2023-03-31,81.25,$-0.82,0.0
2022-12-31,80.54,$-0.17,0.0
2022-09-30,79.14,$-0.92,0.0
2022-06-30,89.82,$1.35,66.36
2022-03-31,121.63,$-7.77,0.0
2021-12-31,107.36,$1.14,94.25
2021-09-30,97.63,$1.39,70.36
2021-06-30,98.81,$4.16,23.73
2020-12-31,96.5,$5.53,17.45
2020-09-30,74.02,$9.44,7.84
2020-06-30,62.72,$2.45,25.63
2020-03-31,55.89,$2.96,18.85
2019-12-31,69.86,$11.01,6.35
2021-03-31,93.64,$-4.03,0.0
2019-09-30,63.62,$4.72,13.49
2019-06-30,58.84,$3.47,16.94
2019-03-31,52.55,$1.91,27.55
2018-12-31,40.03,$1.08,36.96
2018-09-30,46.23,$-5.23,0.0
2018-06-30,43.11,$-5.66,0.0
2018-03-31,48.87,$-6.87,0.0
2017-12-31,54.17,$-5.46,0.0
2017-09-30,57.51,$-9.32,0.0
2017-06-30,57.45,$-8.68,0.0
2017-03-31,50.99,$-5.91,0.0
2016-12-31,50.63,$-4.29,0.0
2016-09-30,54.98,$4.37,12.59
2016-06-30,48.8,$4.74,10.29
2016-03-31,47.76,$3.54,13.48
2015-12-31,48.83,$4.38,11.16
2015-09-30,44.06,$6.73,6.55
2015-06-30,50.95,$5.35,9.53
2015-03-31,52.02,$6.09,8.54
2014-12-31,49.02,$4.33,11.32
2014-09-30,42.87,$5.29,8.1
2014-06-30,47.92,$5.22,9.18
2014-03-31,43.09,$3.78,11.39
2013-12-31,42.92,$4.54,9.45
2013-09-30,40.72,$2.09,19.46
2013-06-30,39.61,$1.77,22.37
2013-03-31,40.07,$1.59,25.19
2012-12-31,35.45,$2.02,17.54
2012-09-30,35.39,$0.31,114.8
2012-06-30,33.22,$0.44,75.63
2012-03-31,35.47,$-4.84,0.0
2011-12-31,32.34,$0.82,39.55
2011-09-30,29.48,$-0.77,0.0
2011-06-30,37.39,$-0.01,0.0
2010-12-31,32.15,$1.86,17.29
2010-09-30,27.6,$5.44,5.08
2010-06-30,24.11,$1.84,13.08
2010-03-31,25.96,$2.75,9.46
2009-12-31,24.63,$6.48,3.8
2011-03-31,37.15,$-2.20,0.0
