Cytokinetics Price to Free Cash Flow Ratio Historical Data,Cytokinetics Price to Free Cash Flow Ratio Historical Data,Cytokinetics Price to Free Cash Flow Ratio Historical Data,Cytokinetics Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,54.53,,0.0
2024-06-30,54.18,$-3.86,0.0
2024-03-31,70.11,$-4.29,0.0
2023-12-31,83.49,$-4.31,0.0
2023-09-30,29.46,$-4.78,0.0
2023-06-30,32.62,$-4.63,0.0
2023-03-31,35.19,$-4.42,0.0
2022-12-31,45.82,$-3.46,0.0
2022-09-30,48.45,$-3.12,0.0
2022-06-30,39.29,$-2.84,0.0
2022-03-31,36.81,$-2.31,0.0
2021-12-31,45.58,$-2.49,0.0
2021-09-30,35.74,$-0.94,0.0
2021-06-30,19.79,$-0.07,0.0
2021-03-31,23.26,$-0.01,0.0
2020-12-31,20.78,$-0.03,0.0
2020-09-30,21.65,$-1.08,0.0
2020-06-30,23.57,$-1.72,0.0
2020-03-31,11.79,$-1.65,0.0
2019-12-31,10.61,$-1.62,0.0
2019-09-30,11.38,$-1.48,0.0
2019-06-30,11.25,$-1.73,0.0
2019-03-31,8.09,$-1.82,0.0
2018-12-31,6.32,$-1.88,0.0
2018-09-30,9.85,$-2.27,0.0
2018-06-30,8.3,$-2.05,0.0
2018-03-31,7.2,$-2.14,0.0
2017-12-31,8.15,$-2.12,0.0
2017-09-30,14.5,$0.31,46.99
2017-06-30,12.1,$0.45,26.9
2017-03-31,12.85,$0.75,17.18
2016-12-31,12.15,$0.83,14.6
2016-09-30,9.18,$-1.22,0.0
2016-06-30,9.49,$-1.27,0.0
2016-03-31,7.05,$-1.23,0.0
2015-12-31,10.46,$0.11,93.9
2015-09-30,6.69,$0.11,59.26
2015-06-30,6.72,$0.12,54.86
2015-03-31,6.78,$0.15,45.6
2014-12-31,8.01,$-1.29,0.0
2014-09-30,3.52,$-1.48,0.0
2014-06-30,4.78,$-0.84,0.0
2014-03-31,9.5,$-0.34,0.0
2013-12-31,6.5,$-0.30,0.0
2013-09-30,7.57,$-0.52,0.0
2013-06-30,11.57,$-0.79,0.0
2013-03-31,6.84,$-1.68,0.0
2012-12-31,3.96,$-1.85,0.0
2012-09-30,5.0,$-2.17,0.0
2012-06-30,3.84,$-3.02,0.0
2012-03-31,6.9,$-3.42,0.0
2011-12-31,5.76,$-3.90,0.0
2011-09-30,7.02,$-3.78,0.0
2011-06-30,7.5,$-3.99,0.0
2011-03-31,8.94,$-4.21,0.0
2010-12-31,12.54,$-4.24,0.0
2010-09-30,15.84,$-3.98,0.0
2010-06-30,14.22,$-4.35,0.0
2010-03-31,19.2,$1.02,18.84
2009-12-31,17.46,$0.82,21.25
