PBF Energy Price to Free Cash Flow Ratio Historical Data,PBF Energy Price to Free Cash Flow Ratio Historical Data,PBF Energy Price to Free Cash Flow Ratio Historical Data,PBF Energy Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,33.62,,4.9
2024-06-30,45.71,$6.86,6.67
2024-03-31,56.89,$2.74,20.77
2023-12-31,43.2,$5.24,8.25
2023-09-30,52.32,$10.43,5.02
2023-06-30,39.84,$16.85,2.36
2023-03-31,41.96,$32.52,1.29
2022-12-31,39.29,$32.62,1.2
2022-09-30,33.73,$26.14,1.29
2022-06-30,27.84,$18.34,1.52
2022-03-31,23.38,$3.95,5.91
2021-12-31,12.44,$1.92,6.48
2021-09-30,12.44,$2.67,4.65
2021-06-30,14.68,$-0.71,0.0
2021-03-31,13.57,$-7.42,0.0
2020-12-31,6.81,$-3.67,0.0
2020-09-30,5.46,$-1.56,0.0
2020-06-30,9.82,$0.28,35.14
2019-12-31,29.73,$4.64,6.41
2019-09-30,25.54,$8.62,2.96
2019-06-30,29.0,$2.83,10.25
2019-03-31,28.56,$5.83,4.9
2018-12-31,29.68,$10.53,2.82
2020-03-31,6.79,$2.26,3.0
2018-09-30,45.0,$7.63,5.9
2018-06-30,37.56,$9.29,4.04
2018-03-31,30.16,$4.90,6.16
2017-12-31,31.23,$3.33,9.38
2017-09-30,24.09,$3.08,7.82
2017-06-30,19.15,$-0.79,0.0
2017-03-31,18.82,$1.77,10.63
2016-12-31,23.38,$3.65,6.41
2016-09-30,18.74,$3.72,5.03
2016-06-30,19.42,$1.58,12.32
2016-03-31,26.85,$2.15,12.47
2015-12-31,29.43,$3.98,7.39
2015-09-30,22.38,$1.78,12.61
2015-06-30,22.32,$3.65,6.12
2015-03-31,26.34,$-0.98,0.0
2014-12-31,20.49,$2.20,9.33
2014-09-30,18.25,$4.73,3.86
2014-06-30,20.02,$8.60,2.33
2014-03-31,19.2,$5.04,3.81
2013-12-31,23.13,$2.28,10.15
2013-09-30,16.33,$5.86,2.79
