Amgen Quarterly Revenue (Millions of US $),Amgen Quarterly Revenue (Millions of US $).1
2024-03-31,"$7,447"
2023-12-31,"$8,196"
2023-09-30,"$6,903"
2023-06-30,"$6,986"
2023-03-31,"$6,105"
2022-12-31,"$6,839"
2022-09-30,"$6,652"
2022-06-30,"$6,594"
2022-03-31,"$6,238"
2021-12-31,"$6,846"
2021-09-30,"$6,706"
2021-06-30,"$6,526"
2021-03-31,"$5,901"
2020-12-31,"$6,634"
2020-09-30,"$6,423"
2020-06-30,"$6,206"
2020-03-31,"$6,161"
2019-12-31,"$6,197"
2019-09-30,"$5,737"
2019-06-30,"$5,871"
2019-03-31,"$5,557"
2018-12-31,"$6,230"
2018-09-30,"$5,904"
2018-06-30,"$6,059"
2018-03-31,"$5,554"
2017-12-31,"$5,802"
2017-09-30,"$5,773"
2017-06-30,"$5,810"
2017-03-31,"$5,464"
2016-12-31,"$5,965"
2016-09-30,"$5,811"
2016-06-30,"$5,688"
2016-03-31,"$5,527"
2015-12-31,"$5,536"
2015-09-30,"$5,723"
2015-06-30,"$5,370"
2015-03-31,"$5,033"
2014-12-31,"$5,331"
2014-09-30,"$5,031"
2014-06-30,"$5,180"
2014-03-31,"$4,521"
2013-12-31,"$5,011"
2013-09-30,"$4,748"
2013-06-30,"$4,679"
2013-03-31,"$4,238"
2012-12-31,"$4,421"
2012-09-30,"$4,319"
2012-06-30,"$4,477"
2012-03-31,"$4,048"
2011-12-31,"$3,973"
2011-09-30,"$3,944"
2011-06-30,"$3,959"
2011-03-31,"$3,706"
2010-12-31,"$3,841"
2010-09-30,"$3,816"
2010-06-30,"$3,804"
2010-03-31,"$3,592"
2009-12-31,"$3,809"
2009-09-30,"$3,812"
2009-06-30,"$3,713"
2009-03-31,"$3,308"
