Gilead Sciences Quarterly Revenue (Millions of US $),Gilead Sciences Quarterly Revenue (Millions of US $).1
2024-03-31,"$6,686"
2023-12-31,"$7,114"
2023-09-30,"$7,051"
2023-06-30,"$6,599"
2023-03-31,"$6,352"
2022-12-31,"$7,389"
2022-09-30,"$7,042"
2022-06-30,"$6,260"
2022-03-31,"$6,590"
2021-12-31,"$7,244"
2021-09-30,"$7,421"
2021-06-30,"$6,217"
2021-03-31,"$6,423"
2020-12-31,"$7,421"
2020-09-30,"$6,577"
2020-06-30,"$5,143"
2020-03-31,"$5,548"
2019-12-31,"$5,879"
2019-09-30,"$5,604"
2019-06-30,"$5,685"
2019-03-31,"$5,281"
2018-12-31,"$5,795"
2018-09-30,"$5,596"
2018-06-30,"$5,648"
2018-03-31,"$5,088"
2017-12-31,"$5,949"
2017-09-30,"$6,512"
2017-06-30,"$7,141"
2017-03-31,"$6,505"
2016-12-31,"$7,320"
2016-09-30,"$7,500"
2016-06-30,"$7,776"
2016-03-31,"$7,794"
2015-12-31,"$8,506"
2015-09-30,"$8,295"
2015-06-30,"$8,244"
2015-03-31,"$7,594"
2014-12-31,"$7,314"
2014-09-30,"$6,042"
2014-06-30,"$6,535"
2014-03-31,"$4,999"
2013-12-31,"$3,120"
2013-09-30,"$2,783"
2013-06-30,"$2,767"
2013-03-31,"$2,532"
2012-12-31,"$2,588"
2012-09-30,"$2,427"
2012-06-30,"$2,405"
2012-03-31,"$2,282"
2011-12-31,"$2,200"
2011-09-30,"$2,122"
2011-06-30,"$2,137"
2011-03-31,"$1,926"
2010-12-31,"$1,999"
2010-09-30,"$1,938"
2010-06-30,"$1,927"
2010-03-31,"$2,086"
2009-12-31,"$2,032"
2009-09-30,"$1,801"
2009-06-30,"$1,647"
2009-03-31,"$1,530"
