Vertex Pharmaceuticals Quarterly Revenue (Millions of US $),Vertex Pharmaceuticals Quarterly Revenue (Millions of US $).1
2024-03-31,"$2,691"
2023-12-31,"$2,518"
2023-09-30,"$2,484"
2023-06-30,"$2,493"
2023-03-31,"$2,375"
2022-12-31,"$2,303"
2022-09-30,"$2,334"
2022-06-30,"$2,196"
2022-03-31,"$2,098"
2021-12-31,"$2,073"
2021-09-30,"$1,984"
2021-06-30,"$1,793"
2021-03-31,"$1,724"
2020-12-31,"$1,628"
2020-09-30,"$1,538"
2020-06-30,"$1,524"
2020-03-31,"$1,515"
2019-12-31,"$1,413"
2019-09-30,$950
2019-06-30,$941
2019-03-31,$858
2018-12-31,$870
2018-09-30,$785
2018-06-30,$752
2018-03-31,$641
2017-12-31,$652
2017-09-30,$578
2017-06-30,$544
2017-03-31,$715
2016-12-31,$459
2016-09-30,$414
2016-06-30,$432
2016-03-31,$398
2015-12-31,$418
2015-09-30,$310
2015-06-30,$166
2015-03-31,$139
2014-12-31,$145
2014-09-30,$179
2014-06-30,$138
2014-03-31,$118
2013-12-31,$351
2013-09-30,$222
2013-06-30,$311
2013-03-31,$328
2012-12-31,$334
2012-09-30,$336
2012-06-30,$418
2012-03-31,$439
2011-12-31,$563
2011-09-30,$659
2011-06-30,$114
2011-03-31,$74
2010-12-31,$66
2010-09-30,$24
2010-06-30,$32
2010-03-31,$22
2009-12-31,$34
2009-09-30,$25
2009-06-30,$19
2009-03-31,$24
