Starbucks Quarterly Revenue (Millions of US $),Starbucks Quarterly Revenue (Millions of US $).1
2024-03-31,"$8,563"
2023-12-31,"$9,425"
2023-09-30,"$9,374"
2023-06-30,"$9,168"
2023-03-31,"$8,720"
2022-12-31,"$8,714"
2022-09-30,"$8,414"
2022-06-30,"$8,150"
2022-03-31,"$7,636"
2021-12-31,"$8,050"
2021-09-30,"$8,147"
2021-06-30,"$7,497"
2021-03-31,"$6,668"
2020-12-31,"$6,749"
2020-09-30,"$6,203"
2020-06-30,"$4,222"
2020-03-31,"$5,996"
2019-12-31,"$7,097"
2019-09-30,"$6,747"
2019-06-30,"$6,823"
2019-03-31,"$6,306"
2018-12-31,"$6,633"
2018-09-30,"$6,304"
2018-06-30,"$6,310"
2018-03-31,"$6,032"
2017-12-31,"$6,074"
2017-09-30,"$5,698"
2017-06-30,"$5,662"
2017-03-31,"$5,294"
2016-12-31,"$5,733"
2016-09-30,"$5,711"
2016-06-30,"$5,238"
2016-03-31,"$4,993"
2015-12-31,"$5,374"
2015-09-30,"$4,915"
2015-06-30,"$4,881"
2015-03-31,"$4,564"
2014-12-31,"$4,803"
2014-09-30,"$4,181"
2014-06-30,"$4,154"
2014-03-31,"$3,874"
2013-12-31,"$4,240"
2013-09-30,"$3,789"
2013-06-30,"$3,735"
2013-03-31,"$3,550"
2012-12-31,"$3,793"
2012-09-30,"$3,341"
2012-06-30,"$3,304"
2012-03-31,"$3,196"
2011-12-31,"$3,436"
2011-09-30,"$3,032"
2011-06-30,"$2,932"
2011-03-31,"$2,786"
2010-12-31,"$2,951"
2010-09-30,"$2,838"
2010-06-30,"$2,612"
2010-03-31,"$2,535"
2009-12-31,"$2,723"
2009-09-30,"$2,422"
2009-06-30,"$2,404"
2009-03-31,"$2,333"
