Biogen Quarterly Revenue (Millions of US $),Biogen Quarterly Revenue (Millions of US $).1
2024-03-31,"$2,291"
2023-12-31,"$2,386"
2023-09-30,"$2,530"
2023-06-30,"$2,456"
2023-03-31,"$2,463"
2022-12-31,"$2,544"
2022-09-30,"$2,509"
2022-06-30,"$2,589"
2022-03-31,"$2,532"
2021-12-31,"$2,734"
2021-09-30,"$2,779"
2021-06-30,"$2,775"
2021-03-31,"$2,694"
2020-12-31,"$2,853"
2020-09-30,"$3,376"
2020-06-30,"$3,682"
2020-03-31,"$3,534"
2019-12-31,"$3,671"
2019-09-30,"$3,600"
2019-06-30,"$3,617"
2019-03-31,"$3,490"
2018-12-31,"$3,526"
2018-09-30,"$3,439"
2018-06-30,"$3,357"
2018-03-31,"$3,131"
2017-12-31,"$3,307"
2017-09-30,"$3,078"
2017-06-30,"$3,078"
2017-03-31,"$2,811"
2016-12-31,"$2,872"
2016-09-30,"$2,956"
2016-06-30,"$2,894"
2016-03-31,"$2,727"
2015-12-31,"$2,839"
2015-09-30,"$2,778"
2015-06-30,"$2,592"
2015-03-31,"$2,555"
2014-12-31,"$2,641"
2014-09-30,"$2,511"
2014-06-30,"$2,421"
2014-03-31,"$2,130"
2013-12-31,"$1,966"
2013-09-30,"$1,828"
2013-06-30,"$1,723"
2013-03-31,"$1,415"
2012-12-31,"$1,418"
2012-09-30,"$1,386"
2012-06-30,"$1,421"
2012-03-31,"$1,292"
2011-12-31,"$1,327"
2011-09-30,"$1,310"
2011-06-30,"$1,209"
2011-03-31,"$1,203"
2010-12-31,"$1,219"
2010-09-30,"$1,176"
2010-06-30,"$1,213"
2010-03-31,"$1,109"
2009-12-31,"$1,127"
2009-09-30,"$1,121"
2009-06-30,"$1,093"
2009-03-31,"$1,036"
