Regeneron Pharmaceuticals Quarterly Revenue (Millions of US $),Regeneron Pharmaceuticals Quarterly Revenue (Millions of US $).1
2024-03-31,"$3,145"
2023-12-31,"$3,434"
2023-09-30,"$3,363"
2023-06-30,"$3,158"
2023-03-31,"$3,162"
2022-12-31,"$3,414"
2022-09-30,"$2,936"
2022-06-30,"$2,857"
2022-03-31,"$2,965"
2021-12-31,"$4,952"
2021-09-30,"$3,453"
2021-06-30,"$5,139"
2021-03-31,"$2,529"
2020-12-31,"$2,423"
2020-09-30,"$2,294"
2020-06-30,"$1,952"
2020-03-31,"$1,828"
2019-12-31,"$1,864"
2019-09-30,"$1,744"
2019-06-30,"$1,578"
2019-03-31,"$1,373"
2018-12-31,$363
2018-09-30,"$1,664"
2018-06-30,"$1,608"
2018-03-31,"$1,512"
2017-12-31,"$1,582"
2017-09-30,"$1,501"
2017-06-30,"$1,470"
2017-03-31,"$1,319"
2016-12-31,"$1,227"
2016-09-30,"$1,220"
2016-06-30,"$1,213"
2016-03-31,"$1,201"
2015-12-31,"$1,098"
2015-09-30,"$1,137"
2015-06-30,$999
2015-03-31,$870
2014-12-31,$802
2014-09-30,$726
2014-06-30,$666
2014-03-31,$626
2013-12-31,$610
2013-09-30,$597
2013-06-30,$458
2013-03-31,$440
2012-12-31,$415
2012-09-30,$428
2012-06-30,$304
2012-03-31,$232
2011-12-31,$123
2011-09-30,$103
2011-06-30,$108
2011-03-31,$112
2010-12-31,$134
2010-09-30,$106
2010-06-30,$116
2010-03-31,$104
2009-12-31,$97
2009-09-30,$117
2009-06-30,$90
2009-03-31,$75
