Intuitive Surgical Quarterly Revenue (Millions of US $),Intuitive Surgical Quarterly Revenue (Millions of US $).1
2024-03-31,"$1,891"
2023-12-31,"$1,928"
2023-09-30,"$1,744"
2023-06-30,"$1,756"
2023-03-31,"$1,696"
2022-12-31,"$1,655"
2022-09-30,"$1,557"
2022-06-30,"$1,522"
2022-03-31,"$1,488"
2021-12-31,"$1,551"
2021-09-30,"$1,403"
2021-06-30,"$1,464"
2021-03-31,"$1,292"
2020-12-31,"$1,329"
2020-09-30,"$1,078"
2020-06-30,$852
2020-03-31,"$1,100"
2019-12-31,"$1,278"
2019-09-30,"$1,128"
2019-06-30,"$1,099"
2019-03-31,$974
2018-12-31,"$1,047"
2018-09-30,$921
2018-06-30,$909
2018-03-31,$848
2017-12-31,$892
2017-09-30,$808
2017-06-30,$759
2017-03-31,$680
2016-12-31,$759
2016-09-30,$683
2016-06-30,$670
2016-03-31,$595
2015-12-31,$677
2015-09-30,$590
2015-06-30,$586
2015-03-31,$532
2014-12-31,$605
2014-09-30,$550
2014-06-30,$512
2014-03-31,$465
2013-12-31,$576
2013-09-30,$499
2013-06-30,$579
2013-03-31,$611
2012-12-31,$609
2012-09-30,$538
2012-06-30,$537
2012-03-31,$495
2011-12-31,$497
2011-09-30,$447
2011-06-30,$426
2011-03-31,$388
2010-12-31,$389
2010-09-30,$344
2010-06-30,$351
2010-03-31,$329
2009-12-31,$323
2009-09-30,$280
2009-06-30,$261
2009-03-31,$188
