Duke Energy PE Ratio Historical Data,Duke Energy PE Ratio Historical Data,Duke Energy PE Ratio Historical Data,Duke Energy PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,102.17,,25.67
2024-03-31,95.76,$3.98,24.06
2023-12-31,95.03,$3.55,26.77
2023-09-30,85.46,$1.57,54.43
2023-06-30,85.92,$1.79,48.0
2023-03-31,91.42,$3.25,28.13
2022-12-31,96.61,$3.32,29.1
2022-09-30,86.35,$4.96,17.41
2022-06-30,98.61,$4.94,19.96
2022-03-31,101.78,$4.76,21.38
2021-12-31,94.67,$4.93,19.2
2021-09-30,87.23,$3.88,22.48
2021-06-30,87.43,$3.83,22.83
2021-03-31,84.69,$1.74,48.67
2020-12-31,79.49,$1.73,45.95
2020-09-30,76.1,$2.73,27.88
2020-06-30,67.86,$2.81,24.15
2020-03-31,67.92,$5.06,13.42
2019-12-31,75.88,$5.06,15.0
2019-09-30,78.9,$4.83,16.34
2019-06-30,71.87,$4.52,15.9
2019-03-31,72.52,$4.11,17.65
2018-12-31,68.82,$3.75,18.35
2018-09-30,63.13,$4.10,15.4
2018-06-30,61.69,$3.95,15.62
2018-03-31,59.71,$4.22,14.15
2017-12-31,64.08,$4.36,14.7
2017-09-30,63.31,$3.03,20.89
2017-06-30,62.42,$3.37,18.52
2017-03-31,60.61,$3.13,19.36
2016-12-31,56.73,$3.12,18.18
2016-09-30,57.83,$4.14,13.97
2016-06-30,61.36,$3.79,16.19
2016-03-31,57.09,$3.83,14.91
2015-12-31,49.99,$4.04,12.37
2015-09-30,49.77,$3.49,14.26
2015-06-30,48.32,$3.94,12.27
2015-03-31,51.99,$4.02,12.93
2014-12-31,56.02,$2.66,21.06
2014-09-30,49.64,$3.49,14.22
2014-06-30,48.71,$3.11,15.66
2014-03-31,46.26,$2.73,16.94
2013-12-31,44.33,$3.76,11.79
2013-09-30,42.43,$3.41,12.44
2013-06-30,42.41,$2.84,14.93
2013-03-31,45.13,$3.35,13.47
2012-12-31,39.23,$2.68,14.64
2012-09-30,39.34,$2.72,14.46
2012-06-30,41.53,$2.92,14.22
2012-03-31,37.4,$2.92,12.81
2011-12-31,38.7,$3.84,10.08
2011-09-30,34.74,$4.14,8.39
2011-06-30,32.25,$4.62,6.98
2011-03-31,30.7,$3.12,9.84
2010-12-31,29.71,$3.00,9.9
2010-09-30,29.15,$2.82,10.34
2010-06-30,25.96,$1.53,16.97
2010-03-31,26.1,$2.67,9.78
2009-12-31,27.13,$2.46,11.03
