Teleflex PE Ratio Historical Data,Teleflex PE Ratio Historical Data,Teleflex PE Ratio Historical Data,Teleflex PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,206.35,,33.12
2024-03-31,225.81,$6.23,36.25
2023-12-31,248.56,$7.53,33.01
2023-09-30,195.48,$8.53,22.92
2023-06-30,240.53,$7.79,30.88
2023-03-31,251.39,$7.67,32.78
2022-12-31,247.38,$7.68,32.21
2022-09-30,199.33,$8.72,22.86
2022-06-30,242.92,$10.76,22.58
2022-03-31,350.18,$10.29,34.03
2021-12-31,323.86,$10.24,31.63
2021-09-30,370.88,$9.15,40.53
2021-06-30,395.38,$7.41,53.36
2021-03-31,408.47,$5.89,69.35
2020-12-31,404.3,$7.09,57.02
2020-09-30,334.09,$7.77,43.0
2020-06-30,356.89,$10.16,35.13
2020-03-31,286.86,$11.69,24.54
2019-12-31,368.36,$9.78,37.66
2019-09-30,332.13,$9.42,35.26
2019-06-30,323.42,$5.78,55.95
2019-03-31,294.77,$3.96,74.44
2018-12-31,251.86,$4.29,58.71
2018-09-30,258.93,$1.45,178.57
2018-06-30,260.61,$1.89,137.89
2018-03-31,247.44,$3.61,68.54
2017-12-31,241.12,$3.27,73.74
2017-09-30,234.18,$5.48,42.73
2017-06-30,200.73,$5.23,38.38
2017-03-31,186.85,$4.82,38.77
2016-12-31,155.16,$5.00,31.03
2016-09-30,161.42,$5.79,27.88
2016-06-30,169.99,$5.64,30.14
2016-03-31,150.22,$5.31,28.29
2015-12-31,125.47,$5.08,24.7
2015-09-30,118.25,$4.06,29.13
2015-06-30,128.62,$3.99,32.24
2015-03-31,114.43,$4.08,28.05
2014-12-31,108.44,$4.03,26.91
2014-09-30,98.91,$3.73,26.52
2014-06-30,99.12,$3.63,27.3
2014-03-31,100.33,$3.59,27.95
2013-12-31,87.52,$3.46,25.3
2013-09-30,76.45,$3.39,22.55
2013-06-30,71.69,$2.83,25.33
2013-03-31,77.85,$2.89,26.94
2012-12-31,65.41,$-4.70,0.0
2012-09-30,62.83,$-1.30,0.0
2012-06-30,55.29,$-0.75,0.0
2012-03-31,55.2,$-0.96,0.0
2011-12-31,55.01,$7.92,6.95
2011-09-30,47.98,$5.83,8.23
2011-06-30,54.13,$5.31,10.19
2011-03-31,51.12,$5.97,8.56
2010-12-31,47.17,$4.99,9.45
2010-09-30,49.46,$4.05,12.21
2010-06-30,46.98,$4.46,10.53
2010-03-31,55.14,$3.13,17.62
2009-12-31,46.12,$7.60,6.07
