UPS PE Ratio Historical Data,UPS PE Ratio Historical Data,UPS PE Ratio Historical Data,UPS PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,138.66,,20.1
2024-03-31,147.0,$6.90,21.3
2023-12-31,153.82,$7.79,19.75
2023-09-30,150.72,$9.88,15.26
2023-06-30,171.75,$11.53,14.9
2023-03-31,184.11,$12.36,14.9
2022-12-31,163.54,$13.20,12.39
2022-09-30,150.64,$12.76,11.81
2022-06-30,168.97,$12.45,13.57
2022-03-31,196.83,$12.25,16.07
2021-12-31,195.31,$14.69,13.3
2021-09-30,165.12,$7.42,22.25
2021-06-30,187.59,$7.01,26.76
2021-03-31,152.6,$5.99,25.48
2020-12-31,150.21,$1.63,92.16
2020-09-30,147.72,$5.26,28.08
2020-06-30,97.94,$5.03,19.47
2020-03-31,81.45,$4.94,16.49
2019-12-31,101.02,$5.11,19.77
2019-09-30,102.61,$5.75,17.84
2019-06-30,87.7,$5.47,16.03
2019-03-31,93.99,$5.24,17.94
2018-12-31,81.33,$5.51,14.76
2018-09-30,96.56,$6.26,15.43
2018-06-30,87.21,$5.98,14.58
2018-03-31,85.25,$5.85,14.57
2017-12-31,96.23,$5.62,17.12
2017-09-30,96.28,$4.08,23.6
2017-06-30,88.01,$4.07,21.62
2017-03-31,84.71,$3.92,21.61
2016-12-31,89.81,$3.87,23.21
2016-09-30,85.09,$5.62,15.14
2016-06-30,83.22,$5.57,14.94
2016-03-31,80.86,$5.49,14.73
2015-12-31,73.19,$5.34,13.71
2015-09-30,74.53,$4.35,17.13
2015-06-30,72.67,$4.28,16.98
2015-03-31,72.17,$3.42,21.1
2014-12-31,82.17,$3.28,25.05
2014-09-30,72.2,$4.04,17.87
2014-06-30,74.89,$3.88,19.3
2014-03-31,70.57,$4.52,15.61
2013-12-31,75.62,$4.62,16.37
2013-09-30,65.35,$1.54,42.44
2013-06-30,61.41,$0.86,71.41
2013-03-31,60.57,$0.88,68.83
2012-12-31,51.6,$0.80,64.5
2012-09-30,49.69,$3.37,14.74
2012-06-30,54.28,$3.95,13.74
2012-03-31,55.22,$3.87,14.27
2011-12-31,49.7,$3.75,13.25
2011-09-30,42.56,$4.12,10.33
2011-06-30,48.74,$4.05,12.03
2011-03-31,49.33,$3.82,12.91
2010-12-31,47.84,$3.47,13.79
2010-09-30,43.65,$3.11,14.04
2010-06-30,36.97,$2.67,13.85
2010-03-31,41.56,$2.27,18.31
2009-12-31,36.72,$2.14,17.16
