Estee Lauder PE Ratio Historical Data,Estee Lauder PE Ratio Historical Data,Estee Lauder PE Ratio Historical Data,Estee Lauder PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,126.06,,70.82
2024-03-31,154.15,$1.78,86.6
2023-12-31,145.6,$1.30,112.0
2023-09-30,143.15,$1.52,94.18
2023-06-30,193.7,$2.78,69.68
2023-03-31,242.26,$3.01,80.49
2022-12-31,243.22,$4.11,59.18
2022-09-30,211.0,$5.99,35.23
2022-06-30,248.31,$6.52,38.08
2022-03-31,264.89,$9.14,28.98
2021-12-31,359.38,$8.85,40.61
2021-09-30,290.65,$8.25,35.23
2021-06-30,307.76,$7.79,39.51
2021-03-31,280.93,$3.75,74.91
2020-12-31,256.64,$2.49,103.07
2020-09-30,209.97,$1.64,128.03
2020-06-30,181.13,$1.83,98.98
2020-03-31,152.96,$3.54,43.21
2019-12-31,197.75,$5.07,39.0
2019-09-30,190.02,$5.10,37.26
2019-06-30,174.52,$3.98,43.85
2019-03-31,157.38,$4.54,34.66
2018-12-31,123.34,$3.36,36.71
2018-06-30,134.91,$2.95,45.73
2018-03-31,141.2,$3.07,45.99
2017-12-31,119.67,$3.42,34.99
2017-09-30,101.12,$3.89,25.99
2017-06-30,89.71,$3.90,23.0
2018-09-30,137.77,$4.08,33.77
2017-03-31,78.96,$2.99,26.41
2016-12-31,70.95,$2.90,24.46
2016-09-30,81.79,$2.57,31.82
2016-06-30,83.78,$2.18,38.43
2016-03-31,86.53,$2.64,32.77
2015-09-30,73.52,$3.06,24.03
2015-06-30,78.74,$2.83,27.82
2015-03-31,75.35,$3.09,24.39
2014-12-31,68.84,$2.92,23.58
2014-09-30,67.29,$2.88,23.36
2014-06-30,66.7,$3.05,21.87
2014-03-31,59.91,$2.63,22.78
2013-12-31,67.28,$3.28,20.51
2013-09-30,62.27,$2.64,23.59
2013-06-30,58.43,$3.01,19.41
2015-12-31,80.53,$3.53,22.81
2013-03-31,56.74,$2.47,22.97
2012-12-31,52.89,$2.35,22.51
2012-09-30,53.73,$2.22,24.2
2012-06-30,47.23,$2.16,21.87
2012-03-31,54.05,$2.13,25.38
2011-12-31,49.01,$2.11,23.23
2011-09-30,37.96,$1.97,19.32
2011-06-30,45.46,$1.74,26.12
2011-03-31,41.64,$1.70,24.49
2010-12-31,34.87,$1.53,22.79
2010-09-30,27.06,$1.32,20.58
2010-06-30,23.85,$1.20,19.96
2010-03-31,27.76,$1.09,25.47
2009-12-31,20.69,$1.02,20.29
