Comerica PE Ratio Historical Data,Comerica PE Ratio Historical Data,Comerica PE Ratio Historical Data,Comerica PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,50.77,,10.09
2024-03-31,54.99,$5.03,10.93
2023-12-31,55.02,$6.44,8.54
2023-09-30,40.45,$8.82,4.59
2023-06-30,40.59,$9.58,4.24
2023-03-31,40.9,$9.49,4.31
2022-12-31,61.96,$8.47,7.32
2022-09-30,65.22,$7.55,8.64
2022-06-30,66.74,$6.85,9.74
2022-03-31,81.51,$7.25,11.24
2021-12-31,77.83,$8.31,9.37
2021-09-30,71.44,$8.14,8.78
2021-06-30,62.71,$7.68,8.17
2021-03-31,62.48,$6.16,10.14
2020-12-31,48.19,$3.27,14.74
2020-09-30,32.57,$3.63,8.97
2020-06-30,31.91,$4.15,7.69
2020-03-31,24.15,$5.29,4.57
2019-12-31,57.94,$7.86,7.37
2019-09-30,52.8,$7.89,6.69
2019-06-30,57.52,$7.79,7.38
2019-03-31,57.51,$7.72,7.45
2018-12-31,53.44,$7.20,7.42
2018-09-30,69.58,$5.95,11.69
2018-06-30,69.68,$5.35,13.02
2018-03-31,73.26,$4.61,15.89
2017-12-31,66.09,$4.13,16.0
2017-09-30,57.85,$4.42,13.09
2017-06-30,55.32,$4.00,13.83
2017-03-31,51.62,$3.45,14.96
2016-12-31,51.1,$2.68,19.07
2016-09-30,35.38,$2.47,14.32
2016-06-30,30.6,$2.37,12.91
2016-03-31,28.03,$2.52,11.12
2015-12-31,30.79,$2.91,10.58
2015-09-30,30.1,$3.00,10.03
2015-06-30,37.4,$3.08,12.14
2015-03-31,32.76,$3.15,10.4
2014-12-31,33.85,$3.15,10.75
2014-09-30,35.88,$2.97,12.08
2014-06-30,35.95,$2.93,12.27
2014-03-31,36.98,$2.89,12.8
2013-12-31,33.81,$2.86,11.82
2013-09-30,27.85,$2.92,9.54
2013-06-30,28.1,$2.75,10.22
2013-03-31,25.25,$2.72,9.28
2012-12-31,21.21,$2.68,7.91
2012-09-30,21.6,$2.48,8.71
2012-06-30,21.26,$2.38,8.93
2012-03-31,22.29,$2.18,10.22
2011-12-31,17.71,$2.09,8.48
2011-09-30,15.71,$2.14,7.34
2011-06-30,23.54,$1.96,12.01
2011-03-31,24.93,$1.82,13.7
2010-12-31,28.61,$0.79,36.21
2010-09-30,25.1,$-0.15,0.0
2010-06-30,24.85,$-0.58,0.0
2010-03-31,25.63,$-1.07,0.0
2009-12-31,19.9,$-0.77,0.0
