ADP PE Ratio Historical Data,ADP PE Ratio Historical Data,ADP PE Ratio Historical Data,ADP PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,248.9,,27.78
2024-03-31,249.74,$8.96,27.87
2023-12-31,231.64,$8.59,26.97
2023-09-30,237.76,$8.41,28.27
2023-06-30,216.14,$8.20,26.36
2023-03-31,217.66,$7.83,27.8
2022-12-31,232.21,$7.53,30.84
2022-09-30,218.84,$7.23,30.27
2022-06-30,202.34,$7.01,28.86
2022-03-31,218.15,$6.77,32.22
2021-12-31,235.24,$6.46,36.41
2021-09-30,189.87,$6.32,30.04
2021-06-30,187.78,$6.07,30.94
2021-03-31,177.36,$5.77,30.74
2020-12-31,164.97,$5.77,28.59
2020-09-30,129.9,$5.76,22.55
2020-06-30,137.7,$5.70,24.16
2020-03-31,125.61,$5.83,21.54
2019-12-31,155.6,$5.66,27.49
2019-09-30,146.52,$5.43,26.98
2019-06-30,149.33,$5.24,28.5
2019-03-31,143.59,$4.40,32.63
2018-12-31,117.25,$4.12,28.46
2018-09-30,133.96,$3.90,34.35
2018-06-30,118.71,$3.65,32.52
2018-03-31,99.91,$3.99,25.04
2017-12-31,102.63,$3.85,26.66
2017-09-30,95.22,$3.93,24.23
2017-06-30,88.78,$3.84,23.12
2017-03-31,88.22,$3.87,22.8
2016-12-31,88.07,$3.73,23.61
2016-09-30,75.14,$3.34,22.5
2016-06-30,77.81,$3.25,23.94
2016-03-31,75.52,$3.35,22.54
2015-12-31,70.88,$3.21,22.08
2015-09-30,66.77,$3.16,21.13
2015-06-30,66.29,$3.05,21.73
2015-03-31,70.35,$2.93,24.01
2014-12-31,68.09,$2.98,22.85
2014-09-30,59.31,$3.07,19.32
2014-06-30,56.27,$3.14,17.92
2014-03-31,54.5,$3.01,18.11
2013-12-31,56.65,$2.92,19.4
2013-09-30,50.43,$2.94,17.15
2013-06-30,47.7,$2.89,16.51
2013-03-31,44.76,$2.95,15.17
2012-12-31,38.91,$2.88,13.51
2012-09-30,39.79,$2.84,14.01
2012-06-30,37.5,$2.82,13.3
2012-03-31,36.91,$2.77,13.32
2011-12-31,35.86,$2.70,13.28
2011-09-30,31.07,$2.56,12.14
2011-06-30,34.46,$2.51,13.73
2011-03-31,33.33,$2.45,13.61
2010-12-31,29.86,$2.40,12.44
2010-09-30,26.91,$2.40,11.21
2010-06-30,25.55,$2.40,10.65
2010-03-31,27.99,$2.68,10.44
2009-12-31,26.75,$2.68,9.98
