McCormick PE Ratio Historical Data,McCormick PE Ratio Historical Data,McCormick PE Ratio Historical Data,McCormick PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,72.21,,27.56
2024-02-29,68.48,$2.62,26.14
2023-11-30,64.08,$2.52,25.43
2023-08-31,80.64,$2.40,33.6
2023-05-31,83.84,$2.59,32.37
2023-02-28,72.35,$2.47,29.29
2022-11-30,82.54,$2.52,32.75
2022-08-31,81.06,$2.56,31.66
2022-05-31,89.0,$2.53,35.18
2022-02-28,91.02,$2.77,32.86
2021-11-30,81.76,$2.80,29.2
2021-08-31,81.86,$2.81,29.13
2021-05-31,84.16,$2.79,30.22
2021-02-28,79.33,$2.84,27.98
2020-11-30,87.69,$2.78,31.6
2020-08-31,96.39,$2.83,34.06
2020-05-31,81.6,$2.78,29.35
2020-02-29,67.83,$2.61,25.99
2019-11-30,78.25,$2.63,29.81
2019-08-31,75.05,$2.63,28.53
2019-05-31,71.65,$2.57,27.93
2019-02-28,62.2,$2.47,25.18
2018-11-30,68.33,$3.51,19.5
2018-08-31,56.67,$3.37,16.84
2018-05-31,45.64,$3.14,14.53
2018-02-28,48.01,$3.07,15.64
2017-11-30,45.71,$1.85,24.71
2017-08-31,42.35,$1.81,23.4
2017-05-31,46.14,$1.89,24.48
2017-02-28,43.4,$1.86,23.4
2016-11-30,40.01,$2.07,19.38
2016-08-31,44.53,$1.83,24.4
2016-05-31,42.23,$1.65,25.59
2015-11-30,37.03,$1.56,23.74
2015-08-31,34.01,$1.55,21.94
2015-05-31,33.5,$1.54,21.83
2015-02-28,32.0,$1.68,19.05
2014-11-30,31.39,$1.73,18.2
2016-02-29,40.39,$1.47,27.57
2014-08-31,29.27,$1.59,18.41
2014-05-31,30.22,$1.51,20.01
2014-02-28,27.6,$1.49,18.59
2013-11-30,28.53,$1.46,19.54
2013-08-31,27.82,$1.53,18.25
2013-05-31,28.27,$1.53,18.54
2013-02-28,27.4,$1.53,17.91
2012-11-30,26.16,$1.52,17.21
2012-08-31,24.77,$1.46,17.02
2012-05-31,22.61,$1.41,16.03
2012-02-29,20.12,$1.39,14.53
2011-11-30,19.31,$1.40,13.84
2011-08-31,18.83,$1.40,13.45
2011-05-31,19.67,$1.44,13.7
2011-02-28,18.56,$1.41,13.21
2010-11-30,17.04,$1.38,12.39
2010-08-31,15.34,$1.32,11.67
2010-05-31,14.74,$1.22,12.08
2010-02-28,14.09,$1.17,12.09
2009-11-30,13.45,$1.13,11.9
