State Street PE Ratio Historical Data,State Street PE Ratio Historical Data,State Street PE Ratio Historical Data,State Street PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,75.39,,14.12
2024-03-31,77.32,$5.34,14.48
2023-12-31,76.77,$5.49,13.98
2023-09-30,65.78,$6.85,9.6
2023-06-30,71.16,$7.40,9.62
2023-03-31,72.97,$7.14,10.22
2022-12-31,74.17,$7.19,10.32
2022-09-30,57.67,$7.06,8.17
2022-06-30,57.87,$7.22,8.02
2022-03-31,81.03,$7.38,10.98
2021-12-31,85.94,$7.18,11.97
2021-09-30,77.81,$6.79,11.46
2021-06-30,75.06,$6.28,11.95
2021-03-31,76.16,$6.07,12.55
2020-12-31,65.57,$6.32,10.38
2020-09-30,53.08,$6.66,7.97
2020-06-30,56.36,$6.63,8.5
2020-03-31,46.86,$6.19,7.57
2019-12-31,68.91,$5.75,11.98
2019-09-30,51.22,$5.06,10.12
2019-06-30,48.09,$5.51,8.73
2019-03-31,55.99,$5.97,9.38
2018-12-31,53.28,$6.41,8.31
2018-09-30,70.77,$6.26,11.31
2018-06-30,78.2,$6.05,12.93
2018-03-31,83.4,$5.70,14.63
2017-12-31,81.28,$5.23,15.54
2017-09-30,79.22,$5.77,13.73
2017-06-30,74.08,$5.40,13.72
2017-03-31,65.44,$5.34,12.26
2016-12-31,63.59,$4.98,12.77
2016-09-30,56.69,$4.89,11.59
2016-06-30,43.66,$4.92,8.87
2016-03-31,47.08,$4.39,10.72
2015-12-31,53.08,$4.50,11.79
2015-09-30,53.48,$4.40,12.15
2015-06-30,60.96,$4.34,14.05
2015-03-31,57.96,$4.78,12.12
2014-12-31,61.62,$4.69,13.14
2014-09-30,57.57,$4.67,12.33
2014-06-30,52.39,$4.58,11.44
2014-03-31,53.93,$4.44,12.15
2013-12-31,56.69,$4.61,12.3
2013-09-30,50.61,$4.39,11.53
2013-06-30,50.0,$4.58,10.92
2013-03-31,45.13,$4.32,10.45
2012-12-31,35.74,$4.19,8.53
2012-09-30,31.74,$3.95,8.04
2012-06-30,33.57,$3.69,9.1
2012-03-31,34.03,$3.71,9.17
2011-12-31,29.99,$3.79,7.91
2011-09-30,23.82,$3.19,7.47
2011-06-30,33.22,$3.17,10.48
2011-03-31,32.98,$3.16,10.44
2010-12-31,33.87,$3.23,10.49
2010-09-30,27.52,$3.73,7.38
2010-03-31,32.97,$-4.46,0.0
2009-12-31,31.79,$-4.43,0.0
2009-09-30,38.4,$-4.56,0.0
