First Solar PE Ratio Historical Data,First Solar PE Ratio Historical Data,First Solar PE Ratio Historical Data,First Solar PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,276.74,,29.01
2024-03-31,168.8,$9.54,17.69
2023-12-31,172.28,$7.74,22.26
2023-09-30,161.59,$4.42,36.56
2023-06-30,190.09,$1.46,130.2
2023-03-31,217.5,$0.39,557.69
2022-12-31,149.79,$-0.42,0.0
2022-09-30,132.27,$0.88,150.31
2022-06-30,68.13,$1.76,38.71
2022-03-31,83.74,$2.01,41.66
2021-12-31,87.16,$4.38,19.9
2021-09-30,95.46,$4.23,22.57
2021-06-30,90.51,$5.26,17.21
2021-03-31,87.3,$4.84,18.04
2020-12-31,98.92,$3.73,26.52
2020-09-30,66.2,$2.09,31.67
2020-06-30,49.5,$0.93,53.23
2020-03-31,36.06,$0.40,90.15
2019-12-31,55.96,$-1.09,0.0
2019-09-30,58.01,$-0.04,0.0
2019-06-30,65.68,$0.21,312.76
2019-03-31,52.84,$-0.07,0.0
2018-12-31,42.46,$1.35,31.45
2018-09-30,48.42,$-3.28,0.0
2018-06-30,52.66,$-1.87,0.0
2018-03-31,70.98,$-0.91,0.0
2017-12-31,67.52,$-1.60,0.0
2017-09-30,45.88,$-4.38,0.0
2017-06-30,39.88,$-4.84,0.0
2017-03-31,27.1,$-5.21,0.0
2016-12-31,32.09,$-3.64,0.0
2016-09-30,39.49,$4.88,8.09
2016-06-30,48.48,$6.80,7.13
2016-03-31,68.47,$7.60,9.01
2015-12-31,65.99,$5.32,12.4
2015-09-30,42.75,$5.61,7.62
2015-06-30,46.98,$3.07,15.3
2015-03-31,59.79,$2.18,27.43
2014-12-31,44.6,$3.90,11.43
2014-09-30,65.81,$2.65,24.83
2014-06-30,71.06,$3.72,19.1
2014-03-31,69.79,$4.05,17.23
2013-12-31,54.64,$3.61,15.14
2013-09-30,40.21,$4.71,8.54
2013-06-30,44.81,$3.77,11.89
2013-03-31,26.96,$4.67,5.77
2012-12-31,30.86,$-1.19,0.0
2012-09-30,22.15,$-7.71,0.0
2012-06-30,15.06,$-6.46,0.0
2012-03-31,25.05,$-7.03,0.0
2011-12-31,33.76,$-0.50,0.0
2011-09-30,63.21,$6.08,10.4
2011-06-30,132.27,$5.87,22.53
2011-03-31,160.84,$7.01,22.94
2010-12-31,130.14,$7.68,16.95
2010-09-30,147.35,$7.53,19.57
2010-06-30,113.83,$7.28,15.64
2010-03-31,122.65,$7.55,16.25
2009-12-31,135.4,$7.54,17.96
