Targa Resources PE Ratio Historical Data,Targa Resources PE Ratio Historical Data,Targa Resources PE Ratio Historical Data,Targa Resources PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,114.28,,23.51
2024-03-31,111.28,$4.86,22.9
2023-12-31,85.82,$3.67,23.39
2023-09-30,84.18,$3.82,22.04
2023-06-30,74.28,$3.69,20.13
2023-03-31,70.73,$3.86,18.32
2022-12-31,70.92,$3.89,18.23
2022-09-30,57.92,$1.06,54.64
2022-06-30,56.98,$0.88,64.75
2022-03-31,71.74,$-0.58,0.0
2021-12-31,49.36,$-0.11,0.0
2021-09-30,46.41,$1.30,35.7
2021-06-30,41.83,$0.80,52.28
2021-03-31,29.79,$0.86,34.64
2020-12-31,24.66,$-7.27,0.0
2020-09-30,13.04,$-7.85,0.0
2020-06-30,18.55,$-8.35,0.0
2020-03-31,6.34,$-8.74,0.0
2019-12-31,36.55,$-1.44,0.0
2019-09-30,35.13,$-1.42,0.0
2019-06-30,33.55,$-1.32,0.0
2019-03-31,34.72,$-0.79,0.0
2018-12-31,29.48,$-0.52,0.0
2018-09-30,45.26,$1.13,40.05
2018-06-30,39.08,$0.46,84.96
2018-03-31,34.09,$0.25,136.35
2017-12-31,36.81,$-0.49,0.0
2017-09-30,35.19,$-2.66,0.0
2017-06-30,32.99,$-1.98,0.0
2017-03-31,43.0,$-2.45,0.0
2016-12-31,39.62,$-1.74,0.0
2016-09-30,34.0,$-0.14,0.0
2016-06-30,28.48,$0.32,89.0
2016-03-31,19.74,$0.92,21.45
2015-12-31,17.19,$1.05,16.37
2015-09-30,32.19,$1.18,27.28
2015-06-30,55.21,$1.68,32.86
2015-03-31,58.81,$2.04,28.83
2014-12-31,64.53,$2.44,26.45
2014-09-30,82.37,$2.31,35.66
2014-06-30,84.0,$1.97,42.64
2014-03-31,59.38,$1.70,34.93
2013-12-31,52.39,$1.55,33.8
2013-09-30,43.04,$1.34,32.12
2013-06-30,37.66,$1.16,32.46
2013-03-31,39.49,$1.00,39.49
2012-12-31,30.46,$0.91,33.48
2012-09-30,28.78,$0.84,34.27
2012-06-30,24.21,$0.75,32.27
2012-03-31,25.56,$0.80,31.95
2011-12-31,22.7,$0.94,24.15
2011-09-30,16.44,$0.06,274.0
