Quanta Services PE Ratio Historical Data,Quanta Services PE Ratio Historical Data,Quanta Services PE Ratio Historical Data,Quanta Services PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,283.43,,54.93
2024-03-31,259.71,$5.16,50.33
2023-12-31,215.73,$5.01,43.06
2023-09-30,186.93,$4.69,39.86
2023-06-30,196.22,$3.92,50.06
2023-03-31,166.29,$3.39,49.05
2022-12-31,142.2,$3.32,42.83
2022-09-30,127.05,$2.93,43.36
2022-06-30,124.94,$3.08,40.56
2022-03-31,131.05,$3.30,39.71
2021-12-31,114.1,$3.35,34.06
2021-09-30,113.26,$3.81,29.73
2021-06-30,90.08,$3.73,24.15
2021-03-31,87.39,$3.44,25.4
2020-12-31,71.54,$3.08,23.23
2020-09-30,52.46,$2.71,19.36
2020-06-30,38.9,$2.50,15.56
2020-03-31,31.37,$2.17,14.46
2019-12-31,40.25,$2.73,14.74
2019-09-30,37.32,$2.31,16.16
2019-06-30,37.67,$2.20,17.12
2019-03-31,37.15,$2.49,14.92
2018-12-31,29.63,$1.91,15.51
2018-09-30,32.86,$2.25,14.6
2018-06-30,32.88,$2.00,16.44
2018-03-31,33.81,$1.93,17.52
2017-12-31,38.5,$2.00,19.25
2017-09-30,36.78,$1.85,19.88
2017-06-30,32.4,$1.77,18.31
2017-03-31,36.53,$1.47,24.85
2016-12-31,34.3,$1.29,26.59
2016-09-30,27.55,$0.69,39.93
2016-06-30,22.76,$1.36,16.73
2016-03-31,22.21,$1.47,15.11
2015-12-31,19.93,$1.59,12.54
2015-09-30,23.83,$1.92,12.41
2015-06-30,28.37,$1.20,23.64
2015-03-31,28.08,$1.35,20.8
2014-12-31,27.95,$1.35,20.7
2014-09-30,35.72,$1.82,19.63
2014-06-30,34.04,$1.82,18.7
2014-03-31,36.32,$1.78,20.41
2013-12-31,31.07,$1.87,16.61
2013-09-30,27.08,$1.56,17.36
2013-06-30,26.05,$1.58,16.48
2013-03-31,28.13,$1.56,18.03
2012-12-31,26.86,$1.44,18.65
2012-09-30,24.31,$1.30,18.7
2012-06-30,23.69,$1.10,21.54
2012-03-31,20.57,$0.94,21.89
2011-12-31,21.2,$0.64,33.13
2011-09-30,18.5,$0.48,38.53
2011-06-30,19.88,$0.53,37.52
2011-03-31,22.08,$0.54,40.89
2010-12-31,19.61,$0.73,26.86
2010-09-30,18.78,$0.78,24.08
2010-06-30,20.33,$0.80,25.41
2010-03-31,18.86,$0.81,23.28
2009-12-31,20.51,$0.81,25.33
