Welltower PE Ratio Historical Data,Welltower PE Ratio Historical Data,Welltower PE Ratio Historical Data,Welltower PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,100.87,,124.53
2024-03-31,93.44,$0.81,115.36
2023-12-31,90.17,$0.64,140.89
2023-09-30,81.92,$0.48,170.67
2023-06-30,80.89,$0.23,351.7
2023-03-31,71.69,$0.23,311.7
2022-12-31,65.55,$0.32,204.84
2022-09-30,64.32,$0.46,139.83
2022-06-30,81.72,$0.89,91.82
2022-03-31,94.75,$0.75,126.33
2021-12-31,83.91,$1.00,83.91
2021-09-30,80.03,$1.64,48.8
2021-06-30,80.13,$1.64,48.86
2020-12-31,61.26,$2.33,26.29
2020-09-30,51.75,$2.49,20.78
2020-06-30,48.09,$3.17,15.17
2020-03-31,41.97,$3.09,13.58
2019-12-31,74.24,$3.05,24.34
2019-09-30,81.43,$2.77,29.4
2019-06-30,72.51,$1.49,48.66
2019-03-31,68.25,$1.56,43.75
2018-12-31,60.34,$2.02,29.87
2018-09-30,55.22,$1.45,38.08
2018-06-30,53.09,$1.48,35.87
2018-03-31,45.38,$1.58,28.72
2017-12-31,52.33,$0.58,90.23
2017-09-30,56.95,$1.74,32.73
2017-06-30,59.93,$2.45,24.46
2021-03-31,68.51,$2.87,23.87
2017-03-31,56.0,$3.24,17.28
2016-12-31,52.23,$2.80,18.65
2016-09-30,57.59,$2.26,25.48
2016-06-30,58.01,$1.85,31.36
2016-03-31,52.2,$2.20,23.73
2015-12-31,50.53,$2.34,21.59
2015-09-30,49.63,$2.54,19.54
2015-06-30,47.52,$2.46,19.32
2015-03-31,55.38,$1.81,30.59
2014-12-31,53.59,$1.42,37.74
2014-09-30,43.68,$0.89,49.08
2014-06-30,43.34,$0.52,83.35
2014-03-31,40.72,$0.25,162.87
2013-12-31,36.09,$0.29,124.44
2013-09-30,41.51,$0.60,69.18
2013-06-30,44.07,$0.69,63.87
2013-03-31,44.19,$0.97,45.56
2012-12-31,39.4,$0.95,41.48
2012-09-30,36.66,$0.75,48.88
2012-06-30,36.58,$0.80,45.72
2012-03-31,34.03,$0.94,36.2
2011-12-31,33.33,$0.90,37.04
2011-09-30,28.2,$1.00,28.2
2011-06-30,31.11,$0.80,38.89
2011-03-31,30.69,$0.78,39.34
2010-12-31,27.49,$0.84,32.72
2010-09-30,26.95,$0.85,31.7
2010-06-30,23.62,$1.01,23.39
2010-03-31,24.95,$1.17,21.32
2009-12-31,24.04,$1.52,15.82
