Amphenol PE Ratio Historical Data,Amphenol PE Ratio Historical Data,Amphenol PE Ratio Historical Data,Amphenol PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,136.24,,41.66
2024-03-31,115.35,$3.27,35.28
2023-12-31,98.93,$3.11,31.81
2023-09-30,83.64,$3.10,26.98
2023-06-30,84.39,$3.07,27.49
2023-03-31,80.97,$3.09,26.2
2022-12-31,75.24,$3.06,24.59
2022-09-30,65.98,$2.98,22.14
2022-06-30,63.27,$2.86,22.12
2022-03-31,73.81,$2.69,27.44
2021-12-31,85.45,$2.54,33.64
2021-09-30,71.37,$2.38,30.05
2021-06-30,66.55,$2.26,29.51
2021-03-31,64.03,$2.09,30.64
2020-12-31,63.32,$1.96,32.39
2020-09-30,52.31,$1.90,27.61
2020-06-30,46.18,$1.80,25.73
2020-03-31,35.04,$1.84,19.1
2019-12-31,51.85,$1.88,27.65
2019-09-30,46.12,$1.91,24.21
2019-06-30,45.73,$1.95,23.45
2019-03-31,44.91,$1.94,23.15
2018-12-31,38.43,$1.93,19.97
2018-09-30,44.48,$1.21,36.76
2018-06-30,41.13,$1.15,35.92
2018-03-31,40.55,$1.09,37.2
2017-12-31,41.25,$1.03,40.24
2017-09-30,39.68,$1.57,25.27
2017-06-30,34.53,$1.49,23.25
2017-03-31,33.22,$1.41,23.56
2016-12-31,31.29,$1.31,23.98
2016-09-30,30.16,$1.25,24.23
2016-06-30,26.57,$1.22,21.87
2016-03-31,26.74,$1.17,22.85
2015-12-31,24.09,$1.21,19.99
2015-09-30,23.45,$1.20,19.62
2015-06-30,26.6,$1.16,23.03
2015-03-31,26.98,$1.15,23.51
2014-12-31,24.58,$1.11,22.2
2014-09-30,22.76,$1.06,21.42
2014-06-30,21.9,$1.03,21.37
2014-03-31,20.79,$0.99,21.0
2013-12-31,20.19,$0.98,20.6
2013-09-30,17.48,$0.94,18.69
2013-06-30,17.56,$0.91,19.24
2013-03-31,16.79,$0.89,18.87
2012-12-31,14.53,$0.85,17.15
2012-09-30,13.2,$0.81,16.4
2012-06-30,12.29,$0.78,15.81
2012-03-31,13.35,$0.78,17.23
2011-12-31,10.12,$0.76,13.28
2011-09-30,9.09,$0.78,11.73
2011-06-30,12.03,$0.77,15.58
2011-03-31,12.12,$0.75,16.27
2010-12-31,11.76,$0.71,16.68
2010-09-30,10.91,$0.65,16.91
2010-06-30,8.74,$0.57,15.41
2010-03-31,9.39,$0.49,19.16
2009-12-31,10.27,$0.46,22.45
