T-Mobile US PE Ratio Historical Data,T-Mobile US PE Ratio Historical Data,T-Mobile US PE Ratio Historical Data,T-Mobile US PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,166.0,,22.59
2024-03-31,163.22,$7.35,22.21
2023-12-31,159.69,$6.93,23.04
2023-09-30,138.89,$6.44,21.57
2023-06-30,137.75,$5.02,27.44
2023-03-31,143.65,$3.07,46.79
2022-12-31,138.85,$2.06,67.4
2022-09-30,133.06,$1.22,109.07
2022-06-30,133.43,$1.37,97.39
2022-03-31,127.29,$2.24,56.83
2021-12-31,115.02,$2.41,47.73
2021-09-30,126.71,$2.67,47.46
2021-06-30,143.64,$3.12,46.04
2021-03-31,124.26,$2.43,51.13
2020-12-31,133.74,$2.79,47.93
2020-09-30,113.42,$3.06,37.06
2020-06-30,103.29,$3.07,33.65
2020-03-31,83.21,$4.07,20.44
2019-12-31,77.77,$3.72,20.91
2019-09-30,78.12,$3.78,20.67
2019-06-30,73.53,$3.69,19.93
2018-12-31,63.09,$3.38,18.66
2018-09-30,69.6,$5.74,12.13
2018-06-30,59.26,$5.87,10.09
2018-03-31,60.54,$5.58,10.85
2017-12-31,62.99,$5.47,11.51
2019-03-31,68.53,$3.16,21.69
2017-09-30,61.15,$2.55,23.98
2017-06-30,60.12,$2.34,25.69
2017-03-31,64.06,$1.92,33.36
2016-12-31,57.04,$1.68,33.95
2016-09-30,46.33,$1.57,29.51
2016-06-30,42.91,$1.30,33.01
2016-03-31,37.98,$1.47,25.84
2015-12-31,38.8,$0.82,47.31
2015-09-30,39.48,$0.60,65.8
2015-06-30,38.45,$0.33,116.52
2015-03-31,31.43,$0.39,80.59
2014-12-31,26.72,$0.29,92.13
2014-09-30,28.63,$0.14,204.51
2014-06-30,33.34,$0.21,158.77
2014-03-31,32.76,$-0.29,0.0
2013-12-31,33.36,0,0.0
2013-09-30,25.76,$0.21,122.65
2013-06-30,24.61,$1.30,18.93
2013-03-31,14.51,$2.14,6.78
2012-12-31,13.23,$2.16,6.12
2012-09-30,15.59,$2.48,6.28
2012-06-30,8.05,$1.82,4.42
2012-03-31,12.01,$1.46,8.22
2011-12-31,11.55,$1.66,6.96
2011-09-30,11.59,$1.24,9.35
2011-06-30,22.91,$1.30,17.62
2011-03-31,21.61,$1.28,16.89
2010-12-31,16.81,$1.08,15.56
2010-09-30,13.92,$1.18,11.8
2010-06-30,10.9,$1.16,9.4
2010-03-31,9.42,$0.86,10.96
2009-12-31,10.16,$0.98,10.36
